setting;;;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
$t_{CARB_{IC}}$;$\euro/tCO_2$;Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;Natural_gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;Coal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;AllFuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;Electricity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;Agri_Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{IC}}$;$\euro/tCO_2$;OthSectors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$t_{CARB_{C}}$;$\euro/tCO_2$ ;Households;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$EF_{CARB_{IC}}$;$tCO_2/toe$;Crude_oil;0;0;0;0.3009006;0;0;0;0;0;0;0;0;0;0;0
$EF_{CARB_{IC}}$;$tCO_2/toe$;Natural_gas;2.3492463;0;2.3492465;2.3492462;2.3492462;2.3492462;2.3492462;2.3492462;2.3492462;2.3492462;2.3492462;2.3492462;2.3492462;2.3492462;2.3492462
$EF_{CARB_{IC}}$;$tCO_2/toe$;Coal;0;0;4.3088022;0;4.2926769;3.961474;4.4552925;0;4.3775448;4.480737;0;0;3.9997355;4.3775448;4.0733332
$EF_{CARB_{IC}}$;$tCO_2/toe$;AllFuels;0;0;0;0;3.0780613;2.9540858;3.0452305;3.0021989;2.9807079;2.9412167;3.0088429;3.0088429;2.9736094;2.9807079;2.9770596
$EF_{CARB_{IC}}$;$tCO_2/toe$;Electricity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$EF_{CARB_{IC}}$;$tCO_2/toe$;HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$EF_{CARB_{IC}}$;$tCO_2/toe$;Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$EF_{CARB_{IC}}$;$tCO_2/toe$;Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$EF_{CARB_{IC}}$;$tCO_2/toe$;Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$EF_{CARB_{IC}}$;$tCO_2/toe$;Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$EF_{CARB_{IC}}$;$tCO_2/toe$;Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$EF_{CARB_{IC}}$;$tCO_2/toe$;PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$EF_{CARB_{IC}}$;$tCO_2/toe$;Agri_Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$EF_{CARB_{IC}}$;$tCO_2/toe$;Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$EF_{CARB_{IC}}$;$tCO_2/toe$;OthSectors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$EF_{CARB_{C}}$;$tCO_2/toe$;Households;0;2.3492462;3.9802446;2.9009606;0;0;0;0;0;0;0;0;0;0;0
$delta_{LS_{H}}$; ; ;1;;;;;;;;;;;;;;
$delta_{LS_{S}}$; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$delta_{LS_{I}}$; ; ;0;;;;;;;;;;;;;;
$delta_{LS_{LT}}$; ; ;0;;;;;;;;;;;;;;
$\beta_{IC_{ji}}$; ;Crude_oil;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\beta_{IC_{ji}}$; ;Natural_gas;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\beta_{IC_{ji}}$; ;Coal;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\beta_{IC_{ji}}$; ;AllFuels;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\beta_{IC_{ji}}$; ;Electricity;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\beta_{IC_{ji}}$; ;HeatGeoSol_Th;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\beta_{IC_{ji}}$; ;Heavy_Industry;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\beta_{IC_{ji}}$; ;Buildings_constr;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\beta_{IC_{ji}}$; ;Work_constr;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
