Macro results;in %
Carbon Tax rate;100 euro/tCO2
Labour Tax cut;No recycling revenues
Real GDP (Laspeyres);0.5949852
Households consumption in GDP;0.0084197
Public consumption in GDP;0.0006350
Investment in GDP;1.2883219
Exports in GDP;-0.3606436
Imports in GDP;0.3417478
Imports/Domestic production ratio;0.0841638
Imports of Non Energy goods in volume;1.897949
Exports of Non Energy goods in volume;-1.4397505
Total Employment;0.8310112
Unemployment rate (% points);-0.0075035
Net-of-tax wages;0.2327446
Labour Intensity (Laspeyres);0
Labour tax rate (% points);1.254e-17
Energy Input Price (Laspeyres);29.770358
Energy Intensity (Laspeyres);-2.6928994
Energy cost share for non-energetic sector;19.347884
Production Price (Laspeyres);1.2354801
Production Price Energy goods (Laspeyres);7.9739782
Production Price Non Energy goods (Laspeyres);1.0889866
Consumption Price for HH of Non Energy goods (Laspeyres);0.9299376
Real Households consumption (Laspeyres);0.0154628
 Energy in Households consumption;-0.329921
 Non Energy goods in Households consumption;0.3453838
Public Deficits;-15.202299
Country Deficits /GDP;23.189036
Total Emissions;-6.6036704
Total Taxes;15.449972
Households Energy Bills;14.132507
Firms Energy Bills;20.902496
Households Energy Conso;-4.995991
Firms Energy Conso;-7.5441336
;
Most sensitif import Elasticity for NonEner;1.990099
 Most sensitif export Elasticity for NonEner ;3.4158416
 Global mean wage/Unemployment Elasticity;0
