Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;9.7;0;43.7;29.2;1.1;50.4;0;14.7;69.7;0.8;18;177.2;234.9;618.7
Households consumption Nominal 1;0;12.6;0;51.8;29.8;1.3;51;0;14.9;70.6;0.8;18.3;179.5;237.9;626.7
HPrice Index (Paasche);-0.0038202;1.36692;3.5955936;1.2492405;1.0744272;1.1960872;1.0198561;-0.0000002;1.0078838;1.0045517;1.1003654;1.0331551;1.0152008;1.007351;1.0072515
Households consumption Real 1 (G€);0;9.2;0;41.5;27.8;1;50;0;14.7;70.3;0.7;17.7;176.8;236.2;622.2
Government consumption Nominal 0;0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.1
Government consumption Nominal 1;0;0;0;0;0;0;30.2;0;0;0;3.3;0;0.2;16.9;558.7
G Price Index (Paasche);1.0001501;1.0041389;1.8208495;1.0089467;1.0741778;1.1962233;1.0198561;1.0079672;1.0078838;1.0045463;1.1003654;1.0331551;1.0152008;1.007351;1.0072515
Government consumption Real 1 (G€);0;0;0;0;0;0;29.6;0;0;0;3;0;0.2;16.8;554.7
Investment Nominal 0;0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
Investment Nominal 1;0;0;0;0;0;0;0.2;64.1;182.2;27.9;0;0;1.9;9.9;258.4
I Price Index (Paasche);3.009e-10;5.548e-10;1.8255031;4.748e-11;0.0000032;-0.0000117;1.0198561;1.0079672;1.0078838;1.0045301;3.950e-10;-9.550e-11;1.0152008;1.007351;1.0072515
Investment Real 1 (G€);0;0;0;0;0;0;0.2;63.6;180.8;27.8;0;0;1.9;9.8;256.6
Exports Nominal 0;0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
Exports Nominal 1;0;0.7;0.1;10.1;4.2;0;124.2;0;0;46.1;1.1;0;46.4;0;318.8
X Price Index (Paasche);1.0001502;1.0041904;1.8247608;1.0159738;1.0756378;0;1.019926;0;0;1.0044963;1.0901331;0;1.0151502;0;1.0073732
Exports Real 1 (G€);0;0.7;0;10;3.9;0;121.8;0;0;45.9;1.1;0;45.7;0;316.4
Imports Nominal 0;15.6;9.7;1.3;16.2;1.7;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7
Imports Nominal 1;14.2;9.1;1.2;15.6;1.6;0;129.3;0;0;53.9;1.9;0.5;44.9;0;344
M Price Index (Paasche);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);14.2;9.1;1.2;15.6;1.6;0;129.3;0;0;53.9;1.9;0.5;44.9;0;344
