Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;9.7;0;43.7;29.2;1.1;50.4;0;14.7;69.7;0.8;18;177.2;234.9;618.7
Households consumption Nominal 1;0;12.5;0;51.7;29.4;1.2;49.9;0;14.5;69;0.7;17.9;175.5;232.7;612.9
HPrice Index (Paasche);0.0168879;1.3589187;3.5928838;1.2463824;1.0572478;1.1820315;1.0110211;-0.0000002;0.9878329;0.995277;1.0778079;1.0115699;1.0014953;0.9875022;0.9885042
Households consumption Real 1 (G€);0;9.2;0;41.5;27.8;1;49.4;0;14.7;69.4;0.7;17.7;175.3;235.6;620
Government consumption Nominal 0;0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.1
Government consumption Nominal 1;0;0;0;0;0;0;29.7;0;0;0;3.2;0;0.2;16.6;548.6
G Price Index (Paasche);0.9998824;0.9961644;1.8181395;1.0061054;1.0570559;1.1821579;1.0110211;0.9882984;0.9878329;0.9952826;1.0778079;1.0115699;1.0014953;0.9875022;0.9885042
Government consumption Real 1 (G€);0;0;0;0;0;0;29.4;0;0;0;3;0;0.2;16.8;555
Investment Nominal 0;0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
Investment Nominal 1;0;0;0;0;0;0;0.2;59.4;168.9;25.9;0;0;1.8;9.2;239.5
I Price Index (Paasche);1.075e-09;3.995e-10;1.911734;5.032e-11;3.818e-09;-0.0011798;1.0110211;0.9882984;0.9878329;0.9952994;8.116e-10;9.353e-11;1.0014953;0.9875022;0.9885042
Investment Real 1 (G€);0;0;0;0;0;0;0.2;60.1;170.9;26;0;0;1.8;9.3;242.3
Exports Nominal 0;0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
Exports Nominal 1;0;0.7;0.1;10.1;4.1;0;124.7;0;0;47.1;1.1;0;46.5;0;321
X Price Index (Paasche);0.9998823;0.9961167;1.822038;1.0109008;1.0581789;0;1.0110599;0;0;0.9953345;1.0698753;0;1.0014903;0;0.9883112
Exports Real 1 (G€);0;0.7;0;10;3.9;0;123.4;0;0;47.4;1.1;0;46.4;0;324.8
Imports Nominal 0;15.6;9.7;1.3;16.2;1.7;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7
Imports Nominal 1;14.2;9.2;1.2;15.6;1.6;0;127.4;0;0;52.9;1.9;0.5;43.6;0;332.4
M Price Index (Paasche);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);14.2;9.2;1.2;15.6;1.6;0;127.4;0;0;52.9;1.9;0.5;43.6;0;332.4
