Variable;Nominal 0 (G€);Nominal 1 (G€);Price Index (Paasche);Real 1 (G€);Real term ratio
GDP;2328.6;2326.1;0.9965012;2334.3;1.0024428
Households consumption;1268;1268;1.0046096;1262.2;0.9954618
Households consumption - Non-energy goods;1173.1;1173.1;0.9919553;1182.7;0.9986734
Households consumption - Energy goods;94.9;94.9;1.1927417;79.5;0.9500401
Government consumption;598.4;598.4;0.9900201;604.4;1.0000317
Government consumption - Non-energy goods;598.4;598.4;0.9900201;604.4;1.0000317
Government consumption - Energy goods;0;0;1.8169496;0;Nan
Investment;504.8;504.8;0.9886369;510.6;1.0000017
Investment - Non-energy goods;504.8;504.8;0.9886369;510.6;1.0000017
Investment - Energy goods;0;0;1.9116966;0;Nan
Exports;555.5;555.5;0.9961426;557.7;1.0068426
Exports - Non-energy goods;540.5;540.5;0.9953774;543;1.0070285
Exports - Energy goods;15;15;1.0245037;14.7;1
Imports;600.6;600.6;1;600.6;0.9874514
Imports - Non-energy goods;558.8;558.8;1;558.8;0.9914637
Imports - Energy goods;41.8;41.8;1;41.8;0.9367359
Net-of-tax wages;-;-;-;for nominal ratio:;1.0004273
Total Employment;-;-;-;Abs ratio:;1.0042588
