Emission CO2,Crude,Natur,Coal ,FuelP,Elect,HeatG,Steel,NonFe,Cemen,OthMi,OthIn,Agric,Compo,CO2Emis_C,CO2Emis_X
Crude,0,0,0,20.2,0,0,0,0,0,0,0,0,0,0,0.2
Natur,0,0,0,2,9.8,5.9,1.9,0.5,0.7,2.9,11,0.5,24.8,33.8,6
Coal ,0,0,15.2,0,22.9,0,21,0,1.2,0.7,2.6,0,0.8,1.9,0.7
FuelP,0,0,0,0,3.3,0.5,0.2,0.6,2,1.4,60.8,9.9,35.2,91.2,75.5
Elect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HeatG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NonFe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OthMi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OthIn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO2Emis_Sec,0,0,15.2,22.1,36,6.5,23.1,1.1,3.9,5,74.5,10.4,60.8,,
Tot_CO2Emis_IC,258.6,,,,,,,,,,,,,,
Tot_CO2Emis_C,127,,,,,,,,,,,,,,
DOM_CO2,385.6,,,,,,,,,,,,,,
Units,1 MtCO2,,,,,,,,,,,,,,
