;L1;L2;L3;L4;L5
Crude_oil;0;0;0;0;0
Liquid_fuels;2.37104865921429;1.60553810421429;1.39083309942857;1.18021160207143;0.979707880285714
Gas_fuels;3.264759063;2.5879091975;2.30910667;1.936659706;1.5278215995
Solid_fuels;0;0;0;0;0
Elec_heating;3.264759063;2.5879091975;2.30910667;1.936659706;1.5278215995
Steel_Iron;0.8;0.8;0.8;0.8;0.8
NonFerrousMetals;0.8;0.8;0.8;0.8;0.8
Cement;0.8;0.8;0.8;0.8;0.8
OthMin;0.8;0.8;0.8;0.8;0.8
ChemicalPharma;0.8;0.8;0.8;0.8;0.8
Paper;0.8;0.8;0.8;0.8;0.8
Auto_indus;0.8;0.8;0.8;0.8;0.8
OthEquip;0.8;0.8;0.8;0.8;0.8
Electronics;0.8;0.8;0.8;0.8;0.8
Food_industry;0.8;0.8;0.8;0.8;0.8
OthManuf;0.8;0.8;0.8;0.8;0.8
LandTransp;0.8;0.8;0.8;0.8;0.8
NavalTransp;0.8;0.8;0.8;0.8;0.8
AirTransp;0.8;0.8;0.8;0.8;0.8
AgriForest_Fish;0.8;0.8;0.8;0.8;0.8
Construction;0.8;0.8;0.8;0.8;0.8
Property_business;0.8;0.8;0.8;0.8;0.8
Compo;%nan;%nan;%nan;%nan;%nan
