;Crude_oil;Natural_gas;Coking_coal;Bituminous_coal;Coke;Other_coal;Gasoline;LPG;Jetfuel;Fuel;Fuel_oil;Heavy_fuel_oil;Other_fuel_prod;Electricty;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;ChemicalPharma;Paper;Mining;TranspEquipment;Transport_serv;Agri_Forestry;Fishing;Food_industry;Composite;C;G;I;X;Tot_uses
Crude_oil;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;7408337.85378891000000;772684.27380969800000;2359820.94033868000000;10896857.26992080000000;4149344.46846774000000;2025239.14250253000000;1609151.86190794000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;24190.37317908900000;29245626.18391540000000
Natural_gas;3225.19564402986000;0.00000000000000;0.00000000000000;0.00000000000000;472.98767352991000;128.02582637385700;70166.00442543250000;7318.26345471882000;22350.38544554890000;103206.54248152700000;39299.35811286600000;19181.48732413900000;15240.63276974870000;1378732.85452889000000;826090.34739722400000;261747.10635467000000;71007.85842416850000;100595.43880938200000;403460.16462616500000;18824.91332320070000;264216.18031251500000;286796.97171276700000;24313.04281178030000;188380.85648183100000;35758.00480513460000;99801.98742469830000;419.17838796837500;966960.00000000000000;4312543.69380528000000;10436194.06244210000000;0.00000000000000;0.00000000000000;513333.19103917300000;20469764.73584490000000
Coking_coal;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;601728.17987758200000;162872.63240147200000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;19609.61370694630000;784210.42598600000000
Bituminous_coal;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;641574.27560689900000;1866.58835514721000;273244.53581151800000;135.42234391125800;51861.78773923950000;17745.29703114700000;0.00000000000000;54033.51522059190000;5416.89375645031000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;45377.37600000000000;23688.01939474160000;70419.61883385410000;0.00000000000000;0.00000000000000;1617.65542115938000;1186980.98551466000000
Coke;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;1042231.10272130000000;0.00000000000000;0.00000000000000;27197.38160880140000;0.00000000000000;5644.81196815155000;0.00000000000000;0.00000000000000;2052.58914086935000;0.00000000000000;0.00000000000000;0.00000000000000;8101.35549930964000;11911.96411644900000;0.00000000000000;0.00000000000000;0.00000000000000;31559.61311005090000;1128698.81816493000000
Other_coal;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;81060.49907946320000;21941.03136658030000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;148208.91022582600000;0.00000000000000;113279.27713997700000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;2418.54926220159000;58385.00000000000000;0.00000000000000;0.00000000000000;591.40189635734300;425884.66897040500000
Gasoline;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;1290.59396176539000;1290.59396176539000;2148.06932396642000;4296.13864793284000;2865.50897543181000;73245.07912856190000;2141.20024481076000;2299.37988016777000;4820.85794428243000;337301.10015875600000;32779.22182280160000;1960.79357961280000;12027.06554477140000;364231.26685609300000;13379922.16419720000000;0.00000000000000;0.00000000000000;4418992.53819194000000;18641611.57241980000000
LPG;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;6954.16833640731000;10431.25250461100000;9929.75148736111000;17887.97679885320000;0.00000000000000;872768.17009023300000;16227.09607867370000;15067.71637574420000;17385.42084101830000;7296.21078144786000;308308.49585129100000;0.00000000000000;97883.48020695710000;712295.06497444000000;1945293.69844293000000;0.00000000000000;0.00000000000000;513451.05198756700000;4551179.55475753000000
Jetfuel;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;1715650.52138024000000;0.00000000000000;0.00000000000000;0.00000000000000;1176.20409211167000;0.00000000000000;0.00000000000000;0.00000000000000;2704334.82710651000000;4421161.55257886000000
Fuel;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;27852.82903679210000;27852.82903679210000;46358.35081528960000;92716.70163057920000;61841.70541672210000;1580731.60668096000000;46210.10644639370000;49623.84498169120000;104040.88048659900000;8445068.49216178000000;1643579.72959176000000;160513.43055396100000;259560.95437994100000;7860621.93543808000000;21211002.10829520000000;0.00000000000000;0.00000000000000;1408427.64247850000000;43026003.14743100000000
Fuel_oil;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;76555.87138819290000;828.17958156653700;7641.08546458408000;7641.08546458408000;25537.75747914180000;12615.79454699710000;16965.52101549930000;433654.52346917600000;4173.34330000000000;50676.31150000000000;2384.76760000000000;946667.50206554200000;196570.70861894600000;25031.28833108280000;22059.10030000000000;2156466.18640160000000;5140542.71507760000000;0.00000000000000;0.00000000000000;0.00000000000000;9126011.74160451000000
Heavy_fuel_oil;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;350486.99138841100000;261.78275289619900;0.00000000000000;5623.68129331072000;14013.41476721930000;130791.59607651600000;0.00000000000000;127465.53123461800000;19682.14876366210000;5154.75505550827000;468.43572918549800;307716.76397074300000;19190.24988884150000;0.00000000000000;104259.04500000000000;48043.88056240530000;84402.44426220220000;0.00000000000000;0.00000000000000;3456155.31381648000000;4673716.03456199000000
Other_fuel_prod;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;53716.28237988280000;89947.05585789980000;5595.57532749875000;85296.57163194960000;319578.99780600900000;9225.69283967744000;0.00000000000000;1210784.98658001000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;1800.00000000000000;130730.95592267400000;151317.05282798100000;0.00000000000000;0.00000000000000;1326857.29945628000000;3384850.47062987000000
Electricty;15651.28465175320000;9890.29395135394000;0.00000000000000;2864.92991935992000;38.21444766614080;10.34368656029860;40021.94485961110000;4174.25986916680000;12748.42284689920000;58867.91739347830000;22415.93712355010000;10940.91696254210000;8693.09531490692000;0.00000000000000;104969.26477689100000;431109.83194022700000;315114.83066747700000;155134.08240206000000;231966.00551216600000;16901.96863520690000;1166279.31436115000000;388365.94824095600000;34997.43803449540000;367099.49475188200000;608579.09625996500000;246078.39170301100000;8907.48739831382000;838680.00000000000000;12761745.52090250000000;19736646.53870590000000;0.00000000000000;0.00000000000000;2236785.70239204000000;39835678.47771110000000
HeatGeoSol_Th;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;4359.40465116279000;0.00000000000000;180502.32558139500000;1399878.16938889000000;74426.78610028520000;0.00000000000000;0.00000000000000;0.00000000000000;1659166.68572173000000
Steel_Iron;0.00000000000000;4176.74282388114000;0.00000000000000;0.00000000000000;350.55594150971300;17157.14561673700000;2313.63765580110000;4109.73373628406000;247.04678971405200;18385.78927673900000;3910.75079428585000;1902.46283565098000;2838.06360099472000;14621.19528277550000;310.03456566283400;869656.25225165900000;639445.32592518900000;14143.58402034450000;206167.13223329400000;147111.68641810000000;207619.70086144100000;13890.66703923340000;8384.90841908150000;1992727.23522479000000;11966.06963679930000;10788.53588824470000;0.00000000000000;9228.14409701991000;11294089.46320860000000;166815.65144473500000;0.00000000000000;60005.63001609160000;12509256.33600000000000;28231619.48160470000000
NonFerrousMetals;0.00000000000000;6264.13453069644000;0.00000000000000;0.00000000000000;525.75168516391400;25731.69401081790000;3469.91379223966000;6163.63661708603000;370.51223678346600;27574.37130771420000;5865.20887792435000;2853.24800800019000;4256.42969963467000;21928.36334744270000;464.97912616831400;5747842.99889959000000;959017.99931706800000;10154.18438216740000;320260.21347738200000;220633.02281664100000;311380.85160113000000;20832.74233629110000;12575.39584778380000;2988623.43476336000000;17946.29767004430000;16180.27325187660000;0.00000000000000;13840.05157364940000;16938485.03066780000000;250184.34855526500000;0.00000000000000;89994.36998390840000;7785743.66400000000000;35809163.12238360000000
Cement;0.00000000000000;5596.23916292265000;0.00000000000000;0.00000000000000;17.93544030969310;205.74103597260100;118.37229143848100;210.26568198620200;12.63961732194720;940.66933996157100;200.08514799357700;97.33541666211410;145.20341629794600;19590.31453465820000;415.40206121904100;31744.64880148100000;7667.95052874924000;853245.32078265400000;468810.18005042400000;213435.34429677900000;79340.73737167250000;15042.29787997950000;33929.51464792340000;118429.38608231900000;15571.12067537130000;31847.64363063650000;2801.77501583004000;32323.82024148190000;2383992.76045058000000;425357.90414721400000;0.00000000000000;0.00000000000000;277776.49437834400000;5018867.10212818000000
OthMin;0.00000000000000;47269.30686292480000;0.00000000000000;0.00000000000000;151.49385275338900;1737.81639428825000;999.84579021296200;1776.03436078976000;106.76204722977500;7945.47666614851000;1690.04325652922000;822.15529838600500;1226.47811194475000;165471.94684159200000;3508.74344923449000;268134.99240610000000;64768.26597308600000;433544.87636377200000;2673071.34845865000000;1802807.29454913000000;670161.07646008200000;127056.57741062900000;286589.72444008100000;1000328.04698599000000;131523.34272636100000;269004.95061247900000;23665.52949730970000;273027.03360137700000;20136681.45195520000000;3561642.09585278000000;0.00000000000000;0.00000000000000;4483223.50562165000000;36437936.21584670000000
Buildings_constr;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;1482136.03012533000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;2839.58753067441000;0.00000000000000;0.00000000000000;44214000.00000000000000;0.00000000000000;45698975.61765600000000
