CarbonTax_Diff_IC;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp
Coal;0.095113;0;0;0;0;0.1932377;0;0;0;0.2166982;1.2752792;0.1879744;0.1903482;0.1098618;0.1174927;0.1955155;0;0;0
COilFFuelExDies;0;3.6524078;1.000D-07;0;2.1793471;0.3898913;0.6418454;0.5077874;0.4711074;0.1474016;0.5517861;0.4438848;0.4067462;0.3146912;0.3336383;0.3326583;0.7633741;1.1815418;0.8463072
NaturalGas;0;0.0869362;6.263D-09;0.4184897;0.109199;0.325926;0;0;0;0.4412029;0.3820307;0.379797;0.3716274;0.2407577;0.2532131;0.3838426;0;1.4316085;0.454973
Allbiofuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diesel;0;0.1574822;2.499D-08;0.718092;0.0520635;0.8121238;0.9804335;0.7559745;0.701471;1.1354005;0.9555224;0.9488299;0.9338788;0.538061;0.5688646;0.9610398;0.9641978;0.7542986;1.6544361
Electricity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
