2050;Oil;Natural_gas;Coal_lignite;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_transport;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Food_industry;Construction;ManufacturedGoods;Compo;C;G;I;X;Tot_uses;Y;M
Oil;44683.8425091541;0;0;332.212840909091;3.16622577183723;349.131901489655;251.389393728149;46.481763571312;9188.25277702862;0;81.714437883274;10269.8639635806;0;0;1654.67416217904;33.0439944946289;3292.68859567676;291.829732666302;167.082790050506;8871.76079736881;0;0;0;0;44552.167052978;0
Natural_gas;23.0678751107361;905.9740733397;0;4668.56356843993;854.990869536896;186.973628502914;0;1451.27267337158;3335.21137012635;564.600509371582;142.062291325281;3332.87804336609;0;0;1427.35452278875;2151.32522055322;179.549910770508;1270.90550485026;5957.86491892474;9068.74973407384;0;0;0;0;669.929188858161;0
Coal_lignite;3566.17791426805;707.315530674711;1856.66908138513;4605.55719958559;1221.90919543217;2.25418716614628;461.505891579346;87.9355961005097;107.738020235767;479.57774718818;27.4539592561931;0;0;0;179.552113320863;420.907226701172;53.7805075247498;187.768162174837;275.985358091696;6334.89627961324;0;0;0;0;17290.7688768577;0
Elec_heating;0;67.888308120974;0;6513.43236591208;825.566647206482;655.150348959932;22.5124834120789;728.068652618774;2676.01175021558;1242.61167730444;271.567529404596;2137.77700707044;0;0;848.621084397741;2308.73414291003;333.57052807251;2455.77278262527;13800.8358113181;26874.3151320362;0;0;0;0;57933.6026602728;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24035.4503400633;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30766.6763361871;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6021.93224086472;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30079.9895532072;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123408.635800471;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25133.3014313706;0
Auto_transport;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194925.792605635;0
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107051.078420722;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28986.3772692022;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27781.1430595688;0
AgriForest_Fish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99051.0361054292;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176416.334052062;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;460081.557532288;0
ManufacturedGoods;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;395102.054523107;0
Compo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3594173.72661163;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
