current_year;2030;2040;2050
Crude_oil;0.0;0.0;0.0
Liquid_fuels;0.0;0.0;0.0
Gas_fuels;0.0;0.0;0.0
Solid_fuels;0.0;0.0;0.0
Elec_heating;0.0;0.0;0.0
Steel_Iron;918.5138285755716;940.9097106138826;1183.5651473051091
NonFerrousMetals;1151.6362561494195;1141.3921464046473;1268.0286238382444
Cement;1091.1037811667838;1134.3283582089553;1337.8347889674094
OthMin;1019.7170208648624;1259.9158739668624;1042.6649014460957
ChemicalPharma;996.3664675398612;1043.7851957139608;1315.2593640844937
Paper;939.1202609769002;1029.7808546536023;1333.1746995718568
Auto_indus;0.0;0.0;0.0
OthEquip;0.0;0.0;0.0
Electronics;0.0;0.0;0.0
Food_industry;0.0;0.0;0.0
OthManuf;0.0;0.0;0.0
LandTransp;0.0;0.0;0.0
NavalTransp;0.0;0.0;0.0
AirTransp;0.0;0.0;0.0
AgriForest_Fish;0.0;0.0;0.0
Construction;0.0;0.0;0.0
Property_business;0.0;0.0;0.0
Compo;0.0;0.0;0.0
