ConstrainedShare_C;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Natural_gas;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Coking_coal;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Bituminous_coal;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Coke;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Other_coal;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Gasoline;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
LPG;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Jetfuel;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Fuel;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Fuel_oil;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Heavy_fuel_oil;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Other_fuel_prod;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Electricty;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
HeatGeoSol_Th;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Metals;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Minerals;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Buildings_constr;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
ChemicalPharma;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Paper;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Mining;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
TranspEquipment;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Transport_serv;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Agri_Forestry;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Fishing;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Food_industry;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Composite;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
