2025;Coal;CrudeOil;NaturalGas;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;0;0;0;0;3644.6;0;0;0;0;0;0;139.2996997;9488.4097;370.0596135;1209.612244;195.6383436;9.635911699;44.68068387;0;143.1904956;42.52831327;3.392578255;8.753687786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15299.80127;2202.856914;13096.94436
CrudeOil;0;0;0;45688.47967;0;52118.14998;0;21782.17034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121204.4;240793.2;223191.0219;17602.17807
NaturalGas;0;15644.04505;3458.731512;1445.154855;0;1648.529302;0;688.9835131;0;8070.87928;0;0;0;0;0;0;4.541792478;1301.344521;533.8379708;745.1783761;2194.616943;160.655507;744.9422688;232.3899468;934.7745638;1442.044924;717.2492707;1850.679839;0;0;0;0;1552.185469;0;0;0;3.592710662;20.58667966;20.69485768;252.1830499;791.7396999;0;0;0;44459.5619;36847.03023;7612.531668
OthFossFuel;0;809.9275026;775.8560824;1520.448606;0;1715.608929;0;778.2419379;0;1473.379063;2.384494503;4.105769036;9.629334483;21.03035843;6.47321143;3.09178635;3330.548566;263.4633942;632.2247927;2167.032556;1693.199921;74.04613456;343.3439444;44.15623092;406.3696075;464.0219672;190.731534;492.1343516;0;0;530.016336;968.8683822;0;0;3412.826259;0;21.65115524;124.0638167;124.7157421;466.2391063;7315.585893;0;0;14125.07623;44310.49299;41799.36657;2511.126428
OthBiofuel;0;0;0;0;2005.141957;0;0;0;0;3449.990524;106.2321022;182.9169559;428.9984496;936.9277988;288.3893661;137.7428059;309.7069229;3438.289602;0;14.10179217;66.40962119;432.2962715;2004.511213;65.5798866;11639.12209;2382.184108;279.9946283;722.4551282;0;0;0;0;0;0;0;0;0;0;0;174.8202421;5484.465972;0;0;0;34550.27744;34550.27744;0
Diesel;0;1339.154875;0;3.523046645;0;3.737722755;0.237531821;1.803272164;0;89.61861331;332.5928884;572.6788555;1343.114092;2933.346102;902.89329;431.2470216;55.8616769;38.95570816;456.8128959;11.43658924;17.69906565;42.54079034;197.2570593;1.486281278;205.1091774;17.42258865;37.01959633;95.51967969;30515.21829;1294.037228;0;266.6398675;8831.54583;0;0;89.90098097;0.215758284;1.236321843;1.242818415;6.328303187;0;0;0;329.2663425;50466.70016;50341.17726;125.5229032
Biodiesel;0;0;0;0;0;0;0;0;0;0;21.308001;36.68942437;86.04837147;187.9286775;57.84504658;27.62840784;3.937908952;1.909216048;26.03810071;0;1.183444249;2.795978306;12.96465002;0.151839043;11.43437315;1.578115986;3.273824917;8.447274914;1946.188871;64.05773365;0;0;563.2552271;0;0;0;0.013869094;0.079471639;0.079889243;0.275054728;0;0;0;0;3065.112772;3065.112772;0
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3062.287209;0;49.53992745;0;0;0;0;0;22456.77286;0;0;0;25568.6;22294.15123;3274.448774
Ethanol;0;0;0;0;0;0;0;0;0;0;0.678229835;1.167817772;2.738904171;5.981735968;1.841197418;0.879407247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1871.101491;0;0;0;0;0;0;0;15138.91206;0;0;1304.084205;18327.38505;18327.38505;0
Electricity;0;913.2783923;61.93731964;159.9164387;44.47711507;169.6609134;10.78193018;81.85326266;597.0314796;11916.58004;147.4655621;253.9152588;595.5120552;1300.591645;400.3262582;191.2069881;600.511327;2642.153743;1413.7646;3061.024063;1933.156417;458.5411571;2126.205918;598.2489988;2361.911392;359.1832281;1330.866904;3433.964522;0;0;0;0;0;241.2973525;0;0;319.0207999;1828.028926;1837.634776;10666.25387;16386.94735;0;0;0;68443.25;66677.8;1765.45
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SugarCane;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Soy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestLivestoock;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MiningPellet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Textiles;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ceramics;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
