Variable;Nominal 0 (G€);Nominal 1 (G€);Price Index (Paasche);Real 1 (G€);Real term ratio
GDP;2328.6;2352.7;1.016406;2314.7;0.9940190
Households consumption;1288.1;1288.1;1.0200112;1262.9;0.9959747
Households consumption - Non-energy goods;1192.6;1192.6;1.0078655;1183.3;0.9992226
Households consumption - Energy goods;95.5;95.5;1.2006802;79.5;0.9500401
Government consumption;608.5;608.5;1.0067801;604.4;1.0000245
Government consumption - Non-energy goods;608.5;608.5;1.0067801;604.4;1.0000245
Government consumption - Energy goods;0;0;1.8205618;0;Nan
Investment;513.7;513.7;1.0059701;510.6;1.0000004
Investment - Non-energy goods;513.7;513.7;1.0059701;510.6;1.0000004
Investment - Energy goods;0;0;1.8147802;0;Nan
Exports;552;552;1.0101693;546.5;0.9866173
Exports - Non-energy goods;536.9;536.9;1.009558;531.8;0.9862536
Exports - Energy goods;15.1;15.1;1.0323595;14.7;1
Imports;609.7;609.7;1;609.7;1.0023448
Imports - Non-energy goods;568.1;568.1;1;568.1;1.0078879
Imports - Energy goods;41.6;41.6;1;41.6;0.9322820
Net-of-tax wages;-;-;-;for nominal ratio:;1.0008237
Total Employment;-;-;-;Abs ratio:;0.9939937
