Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;9.7;0;43.7;29.2;1.1;50.4;0;14.7;69.7;0.8;18;177.2;234.9;618.7
Households consumption Nominal 1;0;12.6;0;51.8;29.8;1.3;50.7;0;14.8;70.2;0.8;18.2;178.4;236.5;623.1
HPrice Index (Paasche);-0.0002058;1.3662876;3.5953804;1.2490051;1.0731273;1.1950295;1.0191878;0.0000069;1.0064623;1.0038242;1.0974833;1.0314463;1.0142094;1.0058147;1.0056518
Households consumption Real 1 (G€);0;9.2;0;41.5;27.8;1;49.8;0;14.7;69.9;0.7;17.6;175.9;235.2;619.6
Government consumption Nominal 0;0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.1
Government consumption Nominal 1;0;0;0;0;0;0;30.2;0;0;0;3.3;0;0.2;16.9;557.9
G Price Index (Paasche);1.0001289;1.0035087;1.8206363;1.0087128;1.0728822;1.1951649;1.0191878;1.0065338;1.0064623;1.0038197;1.0974833;1.0314463;1.0142094;1.0058147;1.0056518
Government consumption Real 1 (G€);0;0;0;0;0;0;29.6;0;0;0;3;0;0.2;16.8;554.7
Investment Nominal 0;0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
Investment Nominal 1;0;0;0;0;0;0;0.2;60.4;171.8;26.3;0;0;1.8;9.4;243.7
I Price Index (Paasche);-7.804e-10;-5.588e-10;1.8147802;3.580e-11;-1.908e-08;-0.0000181;1.0191878;1.0065338;1.0064623;1.0038061;3.278e-10;1.024e-09;1.0142094;1.0058147;1.0056518
Investment Real 1 (G€);0;0;0;0;0;0;0.2;60.1;170.7;26.2;0;0;1.8;9.3;242.3
Exports Nominal 0;0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
Exports Nominal 1;0;0.7;0.1;10.1;4.2;0;124.2;0;0;46.2;1.1;0;46.4;0;318.9
X Price Index (Paasche);1.0001289;1.0035523;1.8245466;1.015556;1.0743167;0;1.0192554;0;0;1.0037777;1.0875448;0;1.0141621;0;1.0057467
Exports Real 1 (G€);0;0.7;0;10;3.9;0;121.9;0;0;46;1.1;0;45.7;0;317.1
Imports Nominal 0;15.6;9.7;1.3;16.2;1.7;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7
Imports Nominal 1;14.2;9.1;1.2;15.5;1.6;0;128.2;0;0;53.4;1.9;0.5;44.6;0;339.6
M Price Index (Paasche);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);14.2;9.1;1.2;15.5;1.6;0;128.2;0;0;53.4;1.9;0.5;44.6;0;339.6
