Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;0.9011556;0.7849132;181.0801;2.4261854;7.694155;19.693534;3.4018705;0.6561734;0.6491869;0.7063488;5.9084471;3.0133805;1.7491362;0.5816695;0.6433547
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;-1.1877964;Nan;0.0615683;0.3245307;-8.2371506;-2.3621554;-0.7027638;0.1259963;0.1422073
Exports in volume;0;0;0;0;0;Nan;-2.8136746;Nan;Nan;-1.2797133;0;Nan;-1.7117005;Nan;-0.7792527
Imports in volume;-9.26415;-6.1503662;-11.148714;-4.5091044;-5.5791433;-52.710339;1.33592;-41.287135;-42.016617;0.3083758;-1.3600712;-2.3621554;1.7394869;-45.078103;0.5531438
Trade balance ;-9.2701811;-6.6894441;-13.404049;-14.11933;17.428869;-6.1868313;272.00807;0.0142653;-0.1063254;8.9121677;-13.326767;-2.3621554;-33.521055;1.0047481;13.987886
Energy Cost share variation;1.2281901;1.0963557;18.485299;1.0524819;100.68007;6.5246016;38.595551;21.253374;17.305926;15.036435;16.28648;11.610393;25.490546;12.284348;11.597687
 Energy/Labour cost variation;2.0563477;1.8060147;232.76449;3.4190141;115.94283;27.39812;43.192442;21.948555;17.970286;15.753645;23.055842;14.879011;27.580456;12.84452;12.223216
Labour;-9.26415;-6.1503662;-11.148714;-4.5091044;-5.5791433;-6.2764821;-4.3944205;-0.0559698;-0.1784042;-0.8591733;-1.3600712;-2.3621554;-1.7115146;-0.0553115;-0.5342765
Unitary Labour Cost variation;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720
Net nominal wages;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720;0.0823720
Net real wages (Consumer Price Index);-1.9106139;-1.9106139;-1.9106139;-1.9106139;-1.9106139;-1.9106139;-1.9106139;-1.9106139;-1.9106139;-1.9106139;-1.9106139;-1.9106139;-1.9106139;-1.9106139;-1.9106139
Purchasing power of wages_Households;1.0006948;0.7325132;0.2783638;0.8012967;0.9326235;0.8374887;0.9819816;0.9943270;0.9943976;0.9970109;0.9119262;0.9703110;0.9868018;0.9950379;0.9951990
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;No recycling revenues;;;;;;;;;;;;;;
