;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo
Crude_oil;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Liquid_fuels;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Gas_fuels;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Solid_fuels;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Elec_heating;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Steel_Iron;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
NonFerrousMetals;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Cement;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
OthMin;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
ChemicalPharma;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Paper;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Auto_indus;0.0;0.0;0.0;0.0;3110.3768903032;193.201967494427;257.212173617597;49.7179626609137;166.36395085736;1428.53204423388;147.269316191903;0.0;0.0;0.0;0.0;0.0;2583.02826516066;0;0;0;0;0;0.0
OthEquip;0.0;0.0;0.0;0.0;6280.42438819317;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Electronics;0.0;0.0;0.0;0.0;453.451429678968;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Food_industry;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
OthManuf;0.0;0.0;0.0;0.0;533.92477;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
LandTransp;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
NavalTransp;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
AirTransp;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
AgriForest_Fish;0.0;0.0;0.0;0.0;0;1115.15624943339;1484.62133465739;328.822504371122;1100.29068027355;8887.91068629579;957.250555247368;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Construction;0.0;0.0;0.0;0.0;7565.07318138291;261.120948941399;347.633555316895;123.900319647039;414.589528327073;2444.67031126399;299.21384877085;0.0;0.0;0.0;0.0;0.0;4714.85773657505;0;0;0;0;176914.438286529;0.0
Property_business;0.0;0.0;0.0;0.0;265.11976;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
Compo;0.0;0.0;0.0;0.0;2435.60582044176;805.390624590783;1072.22651947478;430.362893720925;1440.06044234202;20451.4321990897;617.128563089879;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0.0
