;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;AirTransp;AgriFood_Indus;PropertyBus;Comp;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural_gas;0;0;0;0;2149.61307;854.4917792;1810.10743;8.590774175;67.22181043;33.06160127;19.3299899;3303.744615;299.1193216;0;1370.430668;38.77449741;510.3914559;2667.772376;0;0;0;13132.64939;13132.64939;0
Coal;0;0;744.7602244;0;0;0;744.7602244;0;0;0;0;0;0;0;2.21371927;0;0;0;0;0;0;1491.734168;744.7602244;746.9739437
AllFuels;0;0;0;0;0;0;0;18.45586434;167.5482417;9.465930168;3.772305287;1936.12284;219.4649864;1523.101553;0;10.68889533;51.97787943;1420.262133;0;0;0;5360.860628;3271.833825;2089.026803
Electricity;0;272.4150908;4.790362885;85.63971526;0;1981.350876;8960.645496;4.244508954;93.82764869;45.32137513;26.49786092;2471.542519;1244.431861;0;3819.348046;54.1211239;17628.83414;15587.764;0;0;1751.544145;54032.31877;54032.31877;0
HeatGeoSol_Th;0;0;0;0;0;0;329.1789287;0;13.02111652;0;0;0;0;0;88.01549593;7.510765463;3524.98088;2128.505621;0;0;0;6091.212807;6091.212807;0
Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;312730.3217;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81643.77419;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;361153.6903;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2260;0;0;0;2260;2790.820021;0
OthTranspEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98520.84881;0
Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439165.3832;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309219.2604;0;0;0;309219.2604;309219.2604;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6409.158943;0;0;0;6409.158943;13483.6236;0
AgriFood_Indus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120634.0445;0;0;0;120634.0445;348783.3251;0
PropertyBus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2925764.086;0;0;0;2925764.086;4223682.987;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4626117.897;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
