Macro results;in %
Carbon Tax rate;100 euro/tCO2
Labour Tax cut;Labour tax reduction
Real GDP (Laspeyres);0.9729130
Households consumption in GDP;-0.2520913
Public consumption in GDP;0.0000009
Investment in GDP;1.2883129
Exports in GDP;-0.0069404
Imports in GDP;0.0563692
Imports/Domestic production ratio;0
Imports of Non Energy goods in volume;0.6887551
Exports of Non Energy goods in volume;-0.0353804
Total Employment;1.2269516
Unemployment rate (% points);-0.0110787
Net-of-tax wages;0.1674520
Labour Intensity (Laspeyres);0
Labour tax rate (% points);-0.0333262
Energy Input Price (Laspeyres);23.908866
Energy Intensity (Laspeyres);-1.5058739
Energy cost share for non-energetic sector;16.198643
Production Price (Laspeyres);0
Production Price Energy goods (Laspeyres);0
Production Price Non Energy goods (Laspeyres);0
Consumption Price for HH of Non Energy goods (Laspeyres);0.0192757
Real Households consumption (Laspeyres);-0.4629703
 Energy in Households consumption;-0.329921
 Non Energy goods in Households consumption;-0.1330494
Public Deficits;-18.361719
Country Deficits /GDP;2.1763265
Total Emissions;-5.6530756
Total Taxes;14.562266
Households Energy Bills;10.918971
Firms Energy Bills;16.948481
Households Energy Conso;-4.995991
Firms Energy Conso;-6.4162871
;
Most sensitif import Elasticity for NonEner;1.990099
 Most sensitif export Elasticity for NonEner ;3.4158416
 Global mean wage/Unemployment Elasticity;0
