Variable;Nominal 0 (G€);Nominal 1 (G€);Price Index (Paasche);Real 1 (G€);Real term ratio
GDP;2328.6;2365.3;1.0059471;2351.3;1.0097291
Households consumption;1275.6;1275.6;1.0107392;1262.1;0.9953703
Households consumption - Non-energy goods;1182.8;1182.8;1.0001927;1182.5;0.9985754
Households consumption - Energy goods;92.9;92.9;1.1675188;79.5;0.9500401
Government consumption;604.6;604.6;1.0003542;604.4;1
Government consumption - Non-energy goods;604.6;604.6;1.0003542;604.4;1
Government consumption - Energy goods;0;0;-1.020e-08;0;Nan
Investment;540.7;540.7;1.0001729;540.6;1.0587509
Investment - Non-energy goods;540.7;540.7;1.0001729;540.6;1.0587509
Investment - Energy goods;0;0;5.307e-10;0;Nan
Exports;553.8;553.8;1.0002201;553.7;0.9997082
Exports - Non-energy goods;539.2;539.2;1.0002261;539.1;0.9997003
Exports - Energy goods;14.7;14.7;1;14.7;1
Imports;609.6;609.6;1;609.6;1.0021581
Imports - Non-energy goods;567.6;567.6;1;567.6;1.0069357
Imports - Energy goods;42;42;1;42;0.9417697
Net-of-tax wages;-;-;-;for nominal ratio:;1.0016745
Total Employment;-;-;-;Abs ratio:;1.0122695
