Households_Gourps;H1;H2;H3;H4;H5;H6
GOS_byAgent;0.002898508898079384;0.009996687339534894;0.026094382173345452;0.06310290228784035;0.19217372672355465;0.7057337925663292
NetCompWages_byAgent;0.016784470948855428;0.06907168735227888;0.1030902354719437;0.12266797822514836;0.2580801814322566;0.4303054465695169
Property_income;0.0024487214073808765;0.009700658669928435;0.02537790898585591;0.08294800705515046;0.27148765605465713;0.608037047784453
Gov_social_transfers;0.013455797980895808;0.07959161016782951;0.10758680456783801;0.13396328125663096;0.2520909668772227;0.41331153914958296
Corp_social_transfers;6.038428716169931E-4;0.010347805466561605;0.01303024066973677;0.05239994100069225;0.14798113928906914;0.7756370307023233
ClimPolicyCompens;0;0;0;0;0;0
Other_Transfers;0.01175948437904902;0.03200756613538547;0.045827273759473236;0.09028432110798003;0.22506233220376226;0.5950590224550556
Income_Tax;0.013728219128356525;0.03175733739285399;0.07336285843073774;0.13683911794620157;0.2816817643903739;0.46263070271147627
Gov_Direct_Tax;0.009831288596424797;0.03673864354800033;0.05997567344853582;0.13089009277029695;0.284110264794543;0.47845403684219917
Corp_Direct_Tax;3.6369265311154336E-5;0.00723559723653149;0.0035058607854153503;0.013536026967088718;0.14292850477708893;0.8327576409685643
FC_byAgent;0.03414133186290852;0.09233919566297728;0.12242464194518382;0.17316422234220621;0.2780583760976297;0.2998722320890946
GFCF_byAgent;0.01158073106891517;0.03761509977999904;0.05743091241798938;0.10632144979490556;0.23379789329377487;0.5532539136444159
NetFinancialDebt;0.0024487214073808765;0.009700658669928435;0.02537790898585591;0.08294800705515046;0.27148765605465713;0.608037047784453
