Row;Energy;Commodities;EnerSect;HybridCommod;FinEnerSect
Row;Buildings_constr;Commodities;NonEnerSect;NonHybridCommod;-
Row;Agri_LS;Commodities;NonEnerSect;HybridCommod;-
Row;Heavy_Industry;Commodities;NonEnerSect;HybridCommod;-
Row;OthIndus;Commodities;NonEnerSect;NonHybridCommod;-
Row;Services;Commodities;NonEnerSect;NonHybridCommod;-
Row;Labour_income;OthPart_IOT_AGG;Value_Added;-;-
Row;Labour_Tax;OthPart_IOT_AGG;Value_Added;-;-
Row;Labour_Corp_Tax;OthPart_IOT_AGG;Value_Added;-;-
Row;Capital_income;OthPart_IOT_AGG;Value_Added;-;-
Row;Production_Tax;OthPart_IOT_AGG;Value_Added;-;-
Row;Profit_margin;OthPart_IOT_AGG;Value_Added;-;-
Row;M_value;OthPart_IOT_AGG;-;-;-
Row;Trade_margins;OthPart_IOT_AGG;Margins;-;-
Row;Transp_margins;OthPart_IOT_AGG;Margins;-;-
Row;SpeMarg_Energy;OthPart_IOT_AGG;SpeMarg;SpeMarg_IC;-
Row;SpeMarg_Buildings_constr;OthPart_IOT_AGG;SpeMarg;SpeMarg_IC;-
Row;SpeMarg_Agri_LS;OthPart_IOT_AGG;SpeMarg;SpeMarg_IC;-
Row;SpeMarg_Heavy_Industry;OthPart_IOT_AGG;SpeMarg;SpeMarg_IC;-
Row;SpeMarg_OthIndus;OthPart_IOT_AGG;SpeMarg;SpeMarg_IC;-
Row;SpeMarg_Services;OthPart_IOT_AGG;SpeMarg;SpeMarg_IC;-
Row;SpeMarg_H1;OthPart_IOT_AGG;SpeMarg;SpeMarg_FC;SpeMarg_C
Row;SpeMarg_H2;OthPart_IOT_AGG;;SpeMarg_FC;SpeMarg_C
Row;SpeMarg_H3;OthPart_IOT_AGG;;SpeMarg_FC;SpeMarg_C
Row;SpeMarg_H4;OthPart_IOT_AGG;;SpeMarg_FC;SpeMarg_C
Row;SpeMarg_H5;OthPart_IOT_AGG;;SpeMarg_FC;SpeMarg_C
Row;SpeMarg_H6;OthPart_IOT_AGG;;SpeMarg_FC;SpeMarg_C
Row;SpeMarg_G;OthPart_IOT_AGG;SpeMarg;SpeMarg_FC;-
Row;SpeMarg_I;OthPart_IOT_AGG;SpeMarg;SpeMarg_FC;-
Row;SpeMarg_X;OthPart_IOT_AGG;SpeMarg;SpeMarg_FC;-
Row;VA_Tax;OthPart_IOT_AGG;Taxes;-;-
Row;Cons_Tax;OthPart_IOT_AGG;Taxes;-;-
Row;Energy_Tax_IC;OthPart_IOT_AGG;Taxes;-;-
Row;Energy_Tax_FC;OthPart_IOT_AGG;Taxes;-;-
Row;ClimPolCompensbySect;OthPart_IOT_AGG;Taxes;-;-
Row;OtherIndirTax;OthPart_IOT_AGG;Taxes;-;-
Column;Energy;Sectors;-;-;-
Column;Buildings_constr;Sectors;-;-;-
Column;Agri_LS;Sectors;-;-;-
Column;Heavy_Industry;Sectors;-;-;-
Column;OthIndus;Sectors;-;-;-
Column;Services;Sectors;-;-;-
Column;H1;FC;C;-;-
Column;H2;FC;C;-;-
Column;H3;FC;C;-;-
Column;H4;FC;C;-;-
Column;H5;FC;C;-;-
Column;H6;FC;C;-;-
Column;G;FC;-;-;-
Column;I;FC;-;-;-
Column;X;FC;-;-;-
