Carbon_Tax_Diff_IC;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite
Crude_oil;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Gas;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Fossil_fuels;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Biofuels;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Elec;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Renew;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Agri;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cattle;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cement;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
IronSteel;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
RestHeavIndus;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
FoodBevarage;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
RestManufIndus;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
TransRoadFreight;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
TransRoadPass;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
RestTrans;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CommerceServ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Construction;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Composite;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
