Aggregation_type;-;-;-;-;-;-;AGG_EnComp;AGG_PMR19;AGG_BIICS19
Row;Coal;Commodities;EnerSect;AllExceptComp;HybridCommod;PrimEnerSect;AllEnergy;Coal;Coal
Row;CrudeOil;Commodities;EnerSect;AllExceptComp;HybridCommod;PrimEnerSect;AllEnergy;COilFFuelExDies;CrudeOil
Row;NaturalGas;Commodities;EnerSect;AllExceptComp;HybridCommod;PrimEnerSect;AllEnergy;NaturalGas;NaturalGas
Row;OthFossFuel;Commodities;EnerSect;AllExceptComp;HybridCommod;FinEnerSect;AllEnergy;COilFFuelExDies;FossilFuels
Row;OthBiofuel;Commodities;EnerSect;AllExceptComp;HybridCommod;FinEnerSect;AllEnergy;Allbiofuel;BioFuels
Row;Diesel;Commodities;EnerSect;AllExceptComp;HybridCommod;FinEnerSect;AllEnergy;Diesel;FossilFuels
Row;Biodiesel;Commodities;EnerSect;AllExceptComp;HybridCommod;FinEnerSect;AllEnergy;Allbiofuel;BioFuels
Row;Gasoline;Commodities;EnerSect;AllExceptComp;HybridCommod;FinEnerSect;AllEnergy;COilFFuelExDies;FossilFuels
Row;Ethanol;Commodities;EnerSect;AllExceptComp;HybridCommod;FinEnerSect;AllEnergy;Allbiofuel;BioFuels
Row;Electricity;Commodities;EnerSect;AllExceptComp;HybridCommod;FinEnerSect;AllEnergy;Electricity;Electricity
Row;PlantedForest;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;PlantedForest;PlantedForest
Row;SugarCane;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;RestAgri;RestAgri
Row;Soy;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;RestAgri;RestAgri
Row;RestAgri;Commodities;NonEnerSect;AllExceptComp;NonHybridCommod;-;AllComp;RestAgri;RestAgri
Row;Cattle;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;Cattle;Cattle
Row;RestLivestoock;Commodities;NonEnerSect;AllExceptComp;NonHybridCommod;-;AllComp;RestAgri;RestAgri
Row;Cement;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;Cement;Cement
Row;IronSteel;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;IronSteel;IronSteel
Row;MiningPellet;Commodities;NonEnerSect;AllExceptComp;NonHybridCommod;-;AllComp;RestIndus;RestIndus
Row;NonFerrousMetals;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;NonFerrousMetals;NonFerrousMetals
Row;Chemical;Commodities;NonEnerSect;AllExceptComp;NonHybridCommod;-;AllComp;Chemical;Chemical
Row;BovineMeat;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;BovineMeat;FoodBeve
Row;RestFoodBeve;Commodities;NonEnerSect;AllExceptComp;NonHybridCommod;-;AllComp;RestFoodBeve;FoodBeve
Row;Textiles;Commodities;NonEnerSect;AllExceptComp;NonHybridCommod;-;AllComp;RestIndus;RestIndus
Row;PaperPulp;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;PaperPulp;PaperPulp
Row;Ceramics;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;RestIndus;RestIndus
Row;Construction;Commodities;NonEnerSect;AllExceptComp;NonHybridCommod;-;AllComp;RestIndus;RestIndus
Row;OthIndustry;Commodities;NonEnerSect;AllExceptComp;NonHybridCommod;-;AllComp;RestIndus;RestIndus
Row;FreightRoad;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;Transp;FreightTransp
Row;FreightRail;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;Transp;FreightTransp
Row;FreightAir;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;Transp;FreightTransp
Row;FreightWater;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;Transp;FreightTransp
Row;PassRoad;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;Transp;PassTransp
Row;PassRail;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;Transp;PassTransp
Row;PassAir;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;Transp;PassTransp
Row;PassWater;Commodities;NonEnerSect;AllExceptComp;HybridCommod;-;AllComp;Transp;PassTransp
Row;WaterSewage;Commodities;NonEnerSect;AllExceptComp;NonHybridCommod;-;AllComp;RestComp;Comp
Row;Education;Commodities;NonEnerSect;AllExceptComp;NonHybridCommod;-;AllComp;RestComp;Comp
Row;Health;Commodities;NonEnerSect;AllExceptComp;NonHybridCommod;-;AllComp;RestComp;Comp
Row;Composite;Commodities;NonEnerSect;-;NonHybridCommod;-;AllComp;RestComp;Comp
Row;Labour_income;OthPart_IOT;Value_Added;-;-;-;-;-;-
Row;Labour_Tax;OthPart_IOT;Value_Added;-;-;-;-;-;-
Row;Labour_Corp_Tax;OthPart_IOT;Value_Added;-;-;-;-;-;-
Row;Capital_income;OthPart_IOT;Value_Added;-;-;-;-;-;-
Row;Production_Tax;OthPart_IOT;Value_Added;-;-;-;-;-;-
Row;Profit_margin;OthPart_IOT;Value_Added;-;-;-;-;-;-
Row;M_value;OthPart_IOT;-;-;-;-;-;-;-
Row;Trade_margins;OthPart_IOT;Margins;-;-;-;-;-;-
Row;Transp_margins;OthPart_IOT;Margins;-;-;-;-;-;-
Row;SpeMarg_Coal;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_CrudeOil;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_NaturalGas;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_OthFossFuel;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_OthBiofuel;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Diesel;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Biodiesel;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Gasoline;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Ethanol;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Electricity;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_PlantedForest;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_SugarCane;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Soy;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_RestAgri;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Cattle;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_RestLivestoock;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Cement;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_IronSteel;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_MiningPellet;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_NonFerrousMetals;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Chemical;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_BovineMeat;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_RestFoodBeve;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Textiles;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_PaperPulp;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Ceramics;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Construction;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_OthIndustry;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_FreightRoad;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_FreightRail;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_FreightAir;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_FreightWater;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_PassRoad;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_PassRail;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_PassAir;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_PassWater;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_WaterSewage;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Education;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Health;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Composite;OthPart_IOT;SpeMarg;-;SpeMarg_IC;-;-;-;-
Row;SpeMarg_C;OthPart_IOT;SpeMarg;-;SpeMarg_FC;-;-;-;-
Row;SpeMarg_G;OthPart_IOT;SpeMarg;-;SpeMarg_FC;-;-;-;-
Row;SpeMarg_I;OthPart_IOT;SpeMarg;-;SpeMarg_FC;-;-;-;-
Row;SpeMarg_X;OthPart_IOT;SpeMarg;-;SpeMarg_FC;-;-;-;-
Row;VA_Tax;OthPart_IOT;Taxes;-;-;-;-;-;-
Row;Cons_Tax;OthPart_IOT;Taxes;-;-;-;-;-;-
Row;Energy_Tax_IC;OthPart_IOT;Taxes;-;-;-;-;-;-
Row;Energy_Tax_FC;OthPart_IOT;Taxes;-;-;-;-;-;-
Row;ClimPolCompensbySect;OthPart_IOT;Taxes;-;-;-;-;-;-
Row;OtherIndirTax;OthPart_IOT;Taxes;-;-;-;-;-;-
Column;Coal;Sectors;-;-;-;-;-;-;-
Column;CrudeOil;Sectors;NonSupplierSect;-;-;-;-;-;-
Column;NaturalGas;Sectors;-;-;-;-;-;-;-
Column;OthFossFuel;Sectors;-;-;-;-;-;-;-
Column;OthBiofuel;Sectors;-;-;-;-;-;-;-
Column;Diesel;Sectors;-;-;-;-;-;-;-
Column;Biodiesel;Sectors;-;-;-;-;-;-;-
Column;Gasoline;Sectors;-;-;-;-;-;-;-
Column;Ethanol;Sectors;-;-;-;-;-;-;-
Column;Electricity;Sectors;-;-;-;-;-;-;-
Column;PlantedForest;Sectors;-;-;-;-;-;-;-
Column;SugarCane;Sectors;-;-;-;-;-;-;-
Column;Soy;Sectors;-;-;-;-;-;-;-
Column;RestAgri;Sectors;-;-;-;-;-;-;-
Column;Cattle;Sectors;-;-;-;-;-;-;-
Column;RestLivestoock;Sectors;-;-;-;-;-;-;-
Column;Cement;Sectors;-;-;-;-;-;-;-
Column;IronSteel;Sectors;-;-;-;-;-;-;-
Column;MiningPellet;Sectors;-;-;-;-;-;-;-
Column;NonFerrousMetals;Sectors;-;-;-;-;-;-;-
