current_year;2030;2035;2040;2045;2050
Crude_oil;0;0;0;0;0
Liquid_fuels;0;0;0;0;0
Gas_fuels;0;0;0;0;0
Solid_fuels;0;0;0;0;0
Elec_heating;0;0;0;0;0
Steel_Iron;1381.041248304;1381.041248304;1492.56669709264;1606.58135243783;1720.59600778303
NonFerrousMetals;1401.40846762825;1401.40846762825;2058.98507326415;2191.16967799457;2323.35428272498
Cement;1522.38805970149;1522.38805970149;1791.0447761194;1902.98507462686;2014.92537313433
OthMin;1561.39964349582;1561.39964349582;1999.60857359826;1965.85919266932;1932.10981174039
ChemicalPharma;1979.79387247657;1979.79387247657;1525.93348596195;1637.28353045373;1748.63357494551
Paper;1505.68511111605;1505.68511111605;1164.62403479504;1419.40847987971;1674.19292496438
Auto_indus;0;0;0;0;0
OthEquip;0;0;0;0;0
Electronics;0;0;0;0;0
Food_industry;0;0;0;0;0
OthManuf;0;0;0;0;0
LandTransp;0;0;0;0;0
NavalTransp;0;0;0;0;0
AirTransp;0;0;0;0;0
AgriForest_Fish;0;0;0;0;0
Construction;0;0;0;0;0
Property_business;0;0;0;0;0
Compo;0;0;0;0;0
