secteurs;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C    ;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;0;0;0.04911973713632794;0.023641133666527134;0.008620615692871134;0.020964738256396998;0.019890404951159294;0.0;0.0015870025117966937;0.0033151148369309556;0.0037019532712743585;0.0027290933047904036;0.003392933590902195;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Liquid_fuels;0;0;0;0;0;0.0056737128857861805;0.007315464418898566;0.15987515289767998;0.021110408613668474;0.024036719315611268;0.007980166756787737;0.001989731329495095;0.002249449936334214;0.002644486547823332;0.017326553050486772;0.0023022533524598475;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Gas_fuels;0;0;0;0;0;0.02553122390196958;1.5416653330759074e-05;0.023310369668371172;0.005059056448708596;0.003585822717742936;0.0004111249496835;0.00011794389545893957;8.959549102617831e-05;0.00010005032553615522;0.001836079861370801;9.169864529655869e-05;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Solid_fuels;0;0;0;0;0;0.02680927176259744;0.028832010768564224;0.21423947168406804;0.009701600657475553;0.023172379904938454;0.03466343996882151;0.0035362158903624458;0.005304891628213883;0.006236508511468112;0.01304926980806243;0.005429418031277435;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Elec_heating;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Steel_Iron;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
NonFerrousMetals;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Cement;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
OthMin;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
ChemicalPharma;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Paper;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Auto_indus;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
OthEquip;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Electronics;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Food_industry;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
OthManuf;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
LandTransp;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
NavalTransp;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
AirTransp;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
AgriForest_Fish;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Construction;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Property_business;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Compo;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
