Technical_coef_variation;2030;2040;2050
Crude_oil;0;0;0
Liquid_fuels;0;0;0
Gas_fuels;0;0;0
Solid_fuels;0;0;0
Elec_heating;0;0;0
Steel_Iron;-0.544559996954251;-0.640298291648464;-0.723664638889658
NonFerrousMetals;-0.00709151788869887;0.060451281359418;0.127589986913577
Cement;1.16954651449059;1.67141323150434;2.27590046056832
OthMin;-0.203157764008055;-0.208438776920921;-0.197990883898484
ChemicalPharma;-0.0148894008238547;-0.0633577161879988;-0.121009405574064
Paper;-0.0537240649935927;-0.163229174516176;-0.2718495928494
Auto_indus;0.116608387201176;0.137799439921117;0.148873961131433
OthEquip;-0.234893458936569;-0.129049907449962;-0.0147089829941803
Electronics;0.0843080572281018;0.119972586702119;0.146494472406674
Food_industry;0.0905163629195746;0.0567553499449575;0.0215774759634795
OthManuf;0.084308060863162;0.119972590064856;0.146494475415356
LandTransp;-0.11256369202684;-0.277318553774244;-0.430251466880686
NavalTransp;0.0463624118873605;-0.165377148209589;-0.633625292131077
AirTransp;-0.0676520382312966;-0.154200534805315;-0.205230546990573
AgriForest_Fish;-0.0170850667225288;-0.0601516468575151;-0.0925758649013118
Construction;0.0973367737965242;0.246487087162808;0.398873634742301
Property_business;-0.216850045969117;-0.437084885563983;-0.634732671907204
Compo;-0.173514352018378;-0.268138332904986;-0.349955681010051
