Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;9.7;0;43.7;29.2;1.1;50.4;0;14.7;69.7;0.8;18;177.2;234.9;618.7
Households consumption Nominal 1;0;12.5;0;51.7;29.2;1.2;49.9;0;14.5;69.1;0.7;17.9;175.6;232.7;613
HPrice Index (Paasche);0;1.3602198;3.5834498;1.2464169;1.049748;1.1690823;1.0109081;0;0.9893043;0.9959188;1.0785186;1.012292;1.0020721;0.9954504;0.9902954
Households consumption Real 1 (G€);0;9.2;0;41.5;27.8;1;49.4;0;14.7;69.3;0.7;17.6;175.2;233.8;619
Government consumption Nominal 0;0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.1
Government consumption Nominal 1;0;0;0;0;0;0;29.7;0;0;0;3.3;0;0.2;16.7;549.6
G Price Index (Paasche);0.9999008;0.9974611;1.8087048;1.0061398;1.0495812;1.1691997;1.0109081;0.9905171;0.9893043;0.9959236;1.0785186;1.012292;1.0020721;0.9954504;0.9902954
Government consumption Real 1 (G€);0;0;0;0;0;0;29.4;0;0;0;3;0;0.2;16.7;555
Investment Nominal 0;0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
Investment Nominal 1;0;0;0;0;0;0;0.2;59.5;169.2;25.9;0;0;1.8;9.2;240
I Price Index (Paasche);0;0;0;0;0;0;1.0109081;0.9905171;0.9893043;0.9959381;0;0;1.0020721;0.9954504;0.9902954
Investment Real 1 (G€);0;0;0;0;0;0;0.2;60.1;171;26;0;0;1.8;9.3;242.3
Exports Nominal 0;0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
Exports Nominal 1;0;0.7;0.1;10.1;4.1;0;124.7;0;0;47.1;1.1;0;46.5;0;320.8
X Price Index (Paasche);0.9999008;0.9974295;1.8125583;1.0109621;1.0505571;0;1.0109465;0;0;0.9959684;1.0705135;0;1.0020652;0;0.9901325
Exports Real 1 (G€);0;0.7;0;10;3.9;0;123.4;0;0;47.3;1.1;0;46.4;0;324
Imports Nominal 0;15.6;9.7;1.3;16.2;1.7;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7
Imports Nominal 1;14.2;9.2;1.2;15.6;1.6;0;127.3;0;0;52.9;1.9;0.5;43.7;0;333
M Price Index (Paasche);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);14.2;9.2;1.2;15.6;1.6;0;127.3;0;0;52.9;1.9;0.5;43.7;0;333
