//Names;;;Notes;;;;;;;;;;;;;;;;
//;;;;;;;;;;;;;;;;;;;
//Sectors;Coal;CrudeOil;NaturalGas;FosFuelExclDies;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;MeatFoodBev;RestIndus;RoadTrans;RailAirWatTrans;RestComp
sigma_omegaU_sect;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
Coef_real_wage_sect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
//;;;;;;;;;;;;;;;;;;;
// Production;;;;;;;;;;;;;;;;;;;
sigma_Phi;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
sigma_Theta;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
phi_L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
phi_K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ConstrainedShare_Labour;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
ConstrainedShare_Capital;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
// Consumption;;;;;;;;;;;;;;;;;;;
delta_C_parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
//;;;;;;;;;;;;;;;;;;;
//International trade parameters;;;;;;;;;;;;;;;;;;;
sigma;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
sigma_X;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
sigma_M;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2
delta_M_parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
delta_X_parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
delta_pM_parameter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
//;;;;;;;;;;;;;;;;;;;
//Investments;;;;;;;;;;;;;;;;;;;
Gamma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pBetta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
