Variable;Nominal 0 (G€);Nominal 1 (G€);Price Index (Paasche);Real 1 (G€);Real term ratio
GDP;1937.2;2045.8;1.0031237;2039.4;1.0527819
Households consumption;1138.7;1138.7;0.9915759;1148.4;1.052287
Households consumption - Non-energy goods;1081;1081;1.002756;1078;1.0578488
Households consumption - Energy goods;57.8;57.8;0.8203845;70.4;0.9738830
Government consumption;550.8;550.8;1.0023848;549.4;1.0533022
Government consumption - Non-energy goods;550.8;550.8;1.0023848;549.4;1.0533022
Government consumption - Energy goods;0;0;-0.0000254;0;Nan
Investment;406.3;406.3;1.0016207;405.6;1.0766421
Investment - Non-energy goods;406.3;406.3;1.0016207;405.6;1.0766421
Investment - Energy goods;0;0;-0.0000312;0;Nan
Exports;457.8;457.8;0.9883531;463.2;0.9990305
Exports - Non-energy goods;448.3;448.3;0.9958060;450.2;1.0071124
Exports - Energy goods;9.5;9.5;0.7307980;13;0.7821303
Imports;507.7;507.7;0.9630660;527.2;1.0213922
Imports - Non-energy goods;476.8;476.8;1;476.8;1.0402553
Imports - Energy goods;31;31;0.6138982;50.4;0.8719209
Net-of-tax wages;-;-;-;for nominal ratio:;1.008342
Total Employment;-;-;-;Abs ratio:;1.0512287
