Macro results;in %
Carbon Tax rate;0 euro/tCO2
Labour Tax cut;No recycling revenues
Real GDP (Laspeyres);5.27819
Households consumption in GDP;2.9456349
Public consumption in GDP;1.4353183
Investment in GDP;1.4904478
Exports in GDP;-0.0232054
Imports in GDP;0.5700056
Imports/Domestic production ratio;148.25812
Imports of Non Energy goods in volume;3.9850349
Exports of Non Energy goods in volume;0.5199561
Total Employment;5.1228718
Unemployment rate (% points);-0.0073971
Net-of-tax wages;0.8341994
Labour Intensity (Laspeyres);0.1480976
Labour tax rate (% points);1.035e-22
Energy Input Price (Laspeyres);-29.005888
Energy Intensity (Laspeyres);-3.6881295
Energy cost share for non-energetic sector;-34.398844
Production Price (Laspeyres);-0.1195156
Production Price Energy goods (Laspeyres);-14.54128
Production Price Non Energy goods (Laspeyres);0.2036630
Consumption Price for HH of Non Energy goods (Laspeyres);0.2849394
Real Households consumption (Laspeyres);5.2286977
 Energy in Households consumption;-0.1729965
 Non Energy goods in Households consumption;5.4016942
Public Deficits; 5.4217131
Country Deficits /GDP;-10.550782
Total Emissions;-16.81706
Total Taxes;2.7854045
Households Energy Bills;-20.104154
Firms Energy Bills;-36.325953
Households Energy Conso;-4.4990585
Firms Energy Conso;-12.524395
;
Most sensitif import Elasticity for NonEner;1.990099
 Most sensitif export Elasticity for NonEner ;3.4158416
 Global mean wage/Unemployment Elasticity;-0.1
