Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;10.4;0.1;41.9;19.7;0.1;43.4;0;12.6;60;0.6;15.5;152.5;202.1;532.4
Households consumption Nominal 1;0;3.1;0;34.1;19.8;0.8;46;0;13.4;63.6;0.7;16.5;161.7;214.4;564.7
HPrice Index (Paasche);-0.0023806;0.372668;1.0082846;0.8200579;1.0065532;0.8391540;0.9782024;-2.278e-08;1.0007118;0.9984021;1.242919;1.0127693;0.9961670;1.0147889;1.002208
Households consumption Real 1 (G€);0;8.2;0;41.5;19.7;0.9;47;0;13.4;63.7;0.6;16.2;162.4;211.3;563.5
Government consumption Nominal 0;0;0;0;0;0;0;25.9;0;0;0;2.8;0;0.2;14.5;478.2
Government consumption Nominal 1;0;0;0;0;0;0;27.3;0;0;0;3;0;0.2;15.3;504.9
G Price Index (Paasche);0.5559165;0.3749827;1.0082852;0.8211711;1.006522;0.8390238;0.9782024;1.0015032;1.0007118;0.9984041;1.242919;1.0127693;0.9961670;1.0147889;1.002208
Government consumption Real 1 (G€);0;0;0;0;0;0;27.9;0;0;0;2.4;0;0.2;15.1;503.8
Investment Nominal 0;0;0;0;0;0;0;0.2;44.2;125.6;20;0;0;1.3;6.8;178.7
Investment Nominal 1;0;0;0;0;0;0;0.2;47.7;135.3;21.5;0;0;1.4;7.4;192.8
I Price Index (Paasche);-0.0000104;-0.0000237;0.0000224;-0.0000125;-0.0000902;0.0000833;0.9782024;1.0015032;1.0007118;0.9984100;0.0000064;-0.0000003;0.9961670;1.0147889;1.002208
Investment Real 1 (G€);0;0;0;0;0;0;0.2;47.6;135.2;21.5;0;0;1.5;7.3;192.4
Exports Nominal 0;0;0.5;0.1;13.8;2.2;0;106.6;0;0;39.3;0.7;0;38.3;0;262.1
Exports Nominal 1;0;0.3;0;6;3.1;0;107.8;0;0;39.4;0.8;0;38.3;0;261.9
X Price Index (Paasche);0.5556760;0.3663774;1.0083249;0.6667405;1.0067057;0;0.9781239;0;0;0.9984222;1.2088808;0;0.9961805;0;1.0022476
Exports Real 1 (G€);0;0.8;0;9.1;3.1;0;110.2;0;0;39.5;0.7;0;38.4;0;261.3
Imports Nominal 0;28.8;9.8;2.2;16.1;1;0;103.9;0;0;43.7;1.6;0.4;36.3;0;272.4
Imports Nominal 1;14;5.4;1.3;8;2.2;0;105.5;0;0;45.5;1.6;0.4;37.9;0;285.8
M Price Index (Paasche);0.5449987;0.6173913;0.9331917;0.6184507;1.3837112;0;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);25.7;8.8;1.4;12.9;1.6;0;105.5;0;0;45.5;1.6;0.4;37.9;0;285.8
