CompT_BY;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;180.01699;2406.2889;444.96;64614.266;0;0;0;52.798;4.3577244;66.428338;0.9859744
Natural_gas;12404.842;636.22083;233.923;41888.44;14396.399;0;0;2556.5014;0.1253170;1.3066037;0.5704345
Coal;330.08401;3389.3079;179.45225;12089.868;484.59469;0;0;178.0838;77.86475;1.9869673;0.6706645
AllFuels;614.04206;58184.754;433.27962;37150.27;31451.9;0;0;25861.707;83.005361;0.8375719;0.4236341
Electricity;748.00857;40430.451;654.10338;1567.5016;13602.138;0;0;4316.1937;8.7601575;0.1078652;0.0353179
HeatGeoSol_Th;666.37343;2414.6505;666.37343;2.220e-16;96.83364;0;0;0;63.637397;0;0
Heavy_Industry;1000;165125.45;1000;103919.47;30207.156;18022.301;104.50134;82830.536;6.7272312;1.2751667;0.6398907
Buildings_constr;1000;40507.976;1000;2.220e-16;0;0;39029.751;0;0.2898185;0;0
Work_constr;1000;179188.25;1000;2.220e-16;11479.046;0;114269.97;0;0.7053847;0;0
Automobile;21043.918;2793.1859;21043.918;2074.673;2251.669;0;457.215;1517.2102;0.7479551;1.4110045;0.6912503
Load_PipeTransp;176.45045;348778.79;176.45045;9070.673;5683.2769;24790.997;0;7299.4709;9.4170607;0.0373000;0.0256298
PassTransp;87.518192;183466;87.518192;4771.3914;188237.4;0;0;0;9.4170607;0.0260070;0.0253477
Agri_Food_industry;1000;191441.85;1000;36287.319;105295.88;145.03184;930.96627;27838.943;2.7604785;0.3894097;0.1915230
Property_business;78.108601;3686657.6;78.108601;2.220e-16;2553764.2;183264.68;85750.13;0;0.2072386;0;0
OthSectors;1000;2436549.6;1000;272446.27;522226.03;469111.95;175274.22;279122.74;1.3653948;0.2193970;0.1113448
