;2030;2035;2040;2050;
Crude_oil;0;0;0;0;
Liquid_fuels;0;0;0;0;
Gas_fuels;0;0;0;0;
Solid_fuels;0;0;0;0;
Elec_heating;0;0;0;0;
Steel_Iron;0.0525669626030487;0.0525669646807812;0.0525669626030487;0.052566967188458;0.0525669659765181
NonFerrousMetals;0.0445561145738584;0.0445561181846949;0.0445561145738584;0.0445561174657288;0.0445561158206531
Cement;0.0806921130595655;0.0806921163607374;0.0806921130595655;0.0806921161455369;0.0806921113006657
OthMin;0.0431429304768838;0.0431429319875263;0.0431429304768838;0.0431429321807764;0.0431429282902974
ChemicalPharma;0.0518908665725003;0.0518908677670429;0.0518908665725003;0.0518908645140023;0.051890868034762
Paper;0.0711208465627438;0.0711208534054046;0.0711208465627438;0.0711208482160064;0.0711208445137659
Auto_transport;0.0622061443989122;0.0622061462349434;0.0622061443989122;0.0622061434014864;0.0622061490914916
OthEquip;0.0275007443566202;0.0275007450460401;0.0275007443566202;0.0275007444514937;0.0275007439530499
Electronics;0.171962714153788;0.171962712170001;0.171962714153788;0.171962718333134;0.171962718357573
Food_industry;0.0420332534356179;0.0420332558233103;0.0420332534356179;0.042033254535967;0.0420332539324381
OthManuf;0.0394464321838308;0.0394464300009784;0.0394464321838308;0.039446431176367;0.0394464312810997
LandTransp;0.109460372303616;0.109460369286133;0.109460372303616;0.109460368820638;0.109460368614075
NavalTransp;0.0959141621059797;0.0959141673125904;0.0959141621059797;0.0959141626096913;0.0959141651619354
AirTransp;0.112121771129237;0.112121768116014;0.112121771129237;0.112121772830055;0.112121770561863
AgriForest_Fish;0.177269688678587;0.177269686004309;0.177269688678587;0.177269683732733;0.177269686814977
Construction;0.0351032620091869;0.0351032623387489;0.0351032620091869;0.035103262501345;0.0351032631459814
Property_business;0.223705166748278;0.223705158956904;0.223705166748278;0.223705162684305;0.223705162820819
Compo;0.103456809761198;0.103456806719321;0.103456809761198;0.103456802678948;0.103456806612251
