Aggregation_type;-;-;-;-;-;AGG_4SecB;AGG_18TME;AGG_22TME;AGG_23TME;AGG_19TME
Row;Crude_oil;Commodities;EnerSect;HybridCommod;PrimEnerSect;PrimEnergy;Oil;Oil;Crude_oil;Oil
Row;Natural_gas;Commodities;EnerSect;HybridCommod;PrimEnerSect;FinEnHRes;Natural_gas;Natural_gas;Gas_fuels;Natural_gas
Row;Crude_coal;Commodities;EnerSect;HybridCommod;PrimEnerSect;FinEnHRes;Coal_lignite;Coal_lignite;Solid_fuels;Coal_lignite
Row;Coke;Commodities;EnerSect;HybridCommod;PrimEnerSect;FinEnHRes;Coal_lignite;Coal_lignite;Solid_fuels;Coal_lignite
Row;Gasoline;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHTr;Oil;Oil;Liquid_fuels;Oil
Row;LPG;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHTr;Oil;Oil;Liquid_fuels;Oil
Row;Jetfuel;Commodities;EnerSect;HybridCommod;PrimEnerSect;FinEnHTr;Oil;Oil;Liquid_fuels;Oil
Row;Road_diesel;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHTr;Oil;Oil;Liquid_fuels;Oil
Row;Heating_oil;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHRes;Oil;Oil;Liquid_fuels;Oil
Row;Other_fuels;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHRes;Oil;Oil;Liquid_fuels;Oil
Row;Electricity;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHRes;Elec_heating;Elec_heating;Elec_heating;Elec_heating
Row;HeatGeoSol_Th;Commodities;EnerSect;HybridCommod;FinEnerSect;FinEnHRes;Elec_heating;Elec_heating;Elec_heating;Elec_heating
Row;Steel_Iron;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Steel_Iron;Steel_Iron;Steel_Iron;Steel_Iron
Row;NonFerrousMetals;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;OthMin;NonFerrousMetals;NonFerrousMetals;NonFerrousMetals
Row;Cement;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Cement;Cement;Cement;Cement
