;Crude_oil;Natural_gas;Crude_coal;Coke;Gasoline;LPG;Jetfuel;Road_diesel;Heating_oil;Other_fuels;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Construction;CivilEngineering;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Property_business;Comp
Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural_gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crude_coal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coke;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LPG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jetfuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Road_diesel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heating_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Other_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Electricity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steel_Iron;0.00100492862140641;0.00815396168949435;0.000161850110806992;0.0000128027012014077;0.000192040518021115;0.000038408103604223;0.0000640135060070384;0.000742556669681646;0.0000512108048056307;0.000179237816819708;0.0228643742068678;0.00226314038728823;0.00409121113428786;0.00473861157751583;0.00089417395444698;0.00598408723360671;0.0113562577882866;0.00175517154986418;0.0218669007652924;0.00135578402964298;0.00069834022843496;0.018675898118264;0.0135239262235705;0.018364400903053;0.0156178417905252;0.00968930057913245;0.0113735231389117;0.0222872034208743;0.0102521135736022;0.0120350898472721;0.0160720946700733;0.00102587838319617;0.331596067452761;0.431017598501381
NonFerrousMetals;0.00100492862140641;0.00815396168949435;0.000161850110806992;0.0000128027012014077;0.000192040518021115;0.000038408103604223;0.0000640135060070384;0.000742556669681646;0.0000512108048056307;0.000179237816819708;0.0228643742068678;0.00226314038728823;0.00409121113428786;0.00473861157751583;0.00089417395444698;0.00598408723360671;0.0113562577882866;0.00175517154986418;0.0218669007652924;0.00135578402964298;0.00069834022843496;0.018675898118264;0.0135239262235705;0.018364400903053;0.0156178417905252;0.00968930057913245;0.0113735231389117;0.0222872034208743;0.0102521135736022;0.0120350898472721;0.0160720946700733;0.00102587838319617;0.331596067452761;0.431017598501381
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Construction;0.000297030095455554;0.00632739907398598;0.0000406003234706498;9.11743253099927E-07;0.0000136761487964989;2.73522975929978E-06;4.55871626549964E-06;0.0000528811086797958;3.64697301239971E-06;0.000012764405543399;0.0177425435258301;0.00175617606951448;0.00102628595439698;0.00118868724827958;0.000242721910379602;0.00162436970792503;0.00807889294288276;0.00124863694643954;0.00293739891542194;0.000465937969463251;0.000206410744299623;0.000627675768242793;0.000454523832175816;0.000997267814027677;0.000295029144713959;0.00600164906605778;0.00339906060346035;0.0117238290045349;0.00539296134208607;0.00633086766244886;0.0112309326737069;0.000716868043002569;0.600707988456538;0.30884708083595
CivilEngineering;0.000297030095455554;0.00632739907398598;0.0000406003234706498;9.11743253099927E-07;0.0000136761487964989;2.73522975929978E-06;4.55871626549964E-06;0.0000528811086797958;3.64697301239971E-06;0.000012764405543399;0.0177425435258301;0.00175617606951448;0.00102628595439698;0.00118868724827958;0.000242721910379602;0.00162436970792503;0.00807889294288276;0.00124863694643954;0.00293739891542194;0.000465937969463251;0.000206410744299623;0.000627675768242793;0.000454523832175816;0.000997267814027677;0.000295029144713959;0.00600164906605778;0.00339906060346035;0.0117238290045349;0.00539296134208607;0.00633086766244886;0.0112309326737069;0.000716868043002569;0.600707988456538;0.30884708083595
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mining;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
