sector;2030;2040;2050
Crude_oil;0;0;0
Liquid_fuels;0;0;0
Solid_fuels;0;0;0
Gas_fuels;0;0;0
Elec_heating;0;0;0
Steel_Iron;0.000183917631631715;0.000183917631631715;0.000183917631631715
NonFerrousMetals;0.000275833309892029;0.000275833309892029;0.000275833309892029
Cement;0.000468965706917621;0.000468965706917621;0.000468965706917621
OthMin;0.003926782574479;0.003926782574479;0.003926782574479
ChemicalPharma;0.0374636383217745;0.0374636383217745;0.0374636383217745
Paper;0.00540124658712819;0.00540124658712819;0.00540124658712819
OthManuf;0.0713848797505313;0.0713848797505313;0.0713848797505313
OthEquip;0.0126360553700003;0.0126360553700003;0.0126360553700003
Electronics;0.0249242980473826;0.0249242980473826;0.0249242980473826
Auto_indus;0;0;0
Food_industry;0.0793818405841776;0.0793818405841776;0.0793818405841776
LandTransp;0;0;0
NavalTransp;0.000334036300262316;0.000334036300262316;0.000334036300262316
AirTransp;0;0;0
AgriForest_Fish;0.0194610862369009;0.0194610862369009;0.0194610862369009
Construction;0.0095403996624299;0.0095403996624299;0.0095403996624299
Property_business;0;0;0
Compo;0.734617019916492;0.734617019916492;0.734617019916492
