;2030;2040;2050
Crude_oil;0;0;0
Liquid_fuels;0;0;0
Gas_fuels;0.1;0.1;0.1
Solid_fuels;0;0;0
Elec_heating;0.13383;0.12319;0.11918
Steel_Iron;0.05625;0.05732;0.05846
NonFerrousMetals;0.04678;0.04672;0.04709
Cement;0;0;0
OthMin;0;0;0
ChemicalPharma;0;0;0
Paper;0.07366;0.07392;0.07457
Auto_indus;0;0;0
OthEquip;0;0;0
Electronics;0;0;0
Food_industry;0.04354;0.04423;0.04486
OthManuf;0;0;0
LandTransp;0.11015;0.11812;0.1146
NavalTransp;0.09826;0.10167;0.10408
AirTransp;0.11532;0.12114;0.12349
AgriForest_Fish;0.17888;0.18123;0.1842
Construction;0;0;0
Property_business;0.24512;0.21248;0.19185
Compo;0.11052;0.1068;0.10204
