;2030;2040;2050
Crude_oil;0;0;0
Liquid_fuels;0;0;0
Gas_fuels;0;0;0
Solid_fuels;0;0;0
Elec_heating;0.133835269849861;0.123199715113267;0.119181623946188
Steel_Iron;0;0;0
NonFerrousMetals;0;0;0
Cement;0;0;0
OthMin;0;0;0
ChemicalPharma;0;0;0
Paper;0;0;0
Auto_indus;0;0;0
OthEquip;0;0;0
Electronics;0;0;0
Food_industry;0;0;0
OthManuf;0;0;0
LandTransp;0;0;0
NavalTransp;0;0;0
AirTransp;0;0;0
AgriForest_Fish;0;0;0
Construction;0;0;0
Property_business;0.245129544500467;0.212485278763015;0.191851013449008
Compo;0.121135588878887;0.111828061961544;0.0999202397053803
