current_year;2030;2040;2050
Crude_oil;0.0;0.0;0.0
Liquid_fuels;0.0;0.0;0.0
Gas_fuels;0.0;0.0;0.0
Solid_fuels;0.0;0.0;0.0
Elec_heating;0.0;0.0;0.0
Steel_Iron;1070.4579539245135;1564.7283865726565;1662.2421417584337
NonFerrousMetals;1232.6187478275192;1764.7986281662381;2270.84783356229
Cement;947.7458061172259;1875.1075569610955;2137.0049810573764
OthMin;1002.390906705649;1706.368217204777;1899.5907113640149
ChemicalPharma;1489.3808583733994;1523.6227080920455;1674.1565241123615
Paper;1329.991944164907;1035.607739951131;1631.849680917393
Auto_indus;0.0;0.0;0.0
OthEquip;0.0;0.0;0.0
Electronics;0.0;0.0;0.0
Food_industry;0.0;0.0;0.0
OthManuf;0.0;0.0;0.0
LandTransp;0.0;0.0;0.0
NavalTransp;0.0;0.0;0.0
AirTransp;0.0;0.0;0.0
AgriForest_Fish;0.0;0.0;0.0
Construction;0.0;0.0;0.0
Property_business;0.0;0.0;0.0
Compo;0.0;0.0;0.0
