Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;-0.7107475;Nan;-0.7107475;-0.7107475;-0.9768192;-0.7107475;-0.7107475;-0.7107475;-0.7223308
Exports in volume;0;0;0;0;0;Nan;2.220e-14;Nan;Nan;6.661e-14;0;Nan;-1.110e-14;Nan;-0.0161939
Imports in volume;-8.9045951;-5.2820728;-9.0116597;-4.1304529;-4.8688887;-52.165325;-0.3188029;-41.251024;-41.99892;-0.3699952;-0.3713863;-0.7107475;-0.5092723;-45.36541;-0.3274419
Trade balance ;-8.910384;-5.7197647;-9.228792;-10.675634;3.7411399;-5.1056324;-38.195137;0.0757776;-0.0758376;-2.9897154;-1.096269;-0.7107475;8.2111424;0.4752836;-6.0226299
Energy Cost share variation;-4.7051186;-4.9854884;156.70392;3.0415846;99.902498;21.75754;30.258124;19.937853;14.363887;11.338555;21.904396;11.529171;23.148037;7.1324009;6.6740614
 Energy/Labour cost variation;-2.4628181;-2.7497851;162.74419;5.4661659;104.60623;24.62251;33.323114;22.760005;17.054883;13.958365;24.772822;14.153467;26.045725;9.6532397;9.1841153
Labour;-8.9045951;-5.2820728;-9.0116597;-4.1304529;-4.8688887;-5.1963164;-0.3188029;0.0054993;-0.1479384;-0.3699952;-0.3713863;-0.7107475;-0.5092723;-0.5791946;-0.3274419
Unitary Labour Cost variation;-2.2989186;-2.2989186;-2.2989186;-2.2989186;-2.2989186;-2.2989186;-2.2989186;-2.2989186;-2.2989186;-2.2989186;-2.2989186;-2.2989186;-2.2989186;-2.2989186;-2.2989186
Net nominal wages;0.0214890;0.0214890;0.0214890;0.0214890;0.0214890;0.0214890;0.0214890;0.0214890;0.0214890;0.0214890;0.0214890;0.0214890;0.0214890;0.0214890;0.0214890
Net real wages (Consumer Price Index);-1.056771;-1.056771;-1.056771;-1.056771;-1.056771;-1.056771;-1.056771;-1.056771;-1.056771;-1.056771;-1.056771;-1.056771;-1.056771;-1.056771;-1.056771
Purchasing power of wages_Households;1.0002149;0.7339587;0.3604632;0.8064682;1.0002149;1.0002149;1.0002149;1.0002149;1.0002149;1.0002149;0.9975346;1.0002149;1.0002149;1.0002149;1.0000982
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;Labour tax reduction;;;;;;;;;;;;;;
