Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;9.7;0;43.7;29.2;1.1;50.4;0;14.7;69.7;0.8;18;177.2;234.9;618.7
Households consumption Nominal 1;0;12.6;0;51.5;27.8;1;50;0;14.6;69.2;0.7;17.9;175.9;233.2;614.3
HPrice Index (Paasche);-0.0008573;1.3627672;2.7748045;1.2402409;1;1;1;-2.873e-09;1;1;1.002687;1;1;1;1.0001167
Households consumption Real 1 (G€);0;9.2;0;41.5;27.8;1;50;0;14.6;69.2;0.7;17.9;175.9;233.2;614.2
Government consumption Nominal 0;0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.1
Government consumption Nominal 1;0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.2
G Price Index (Paasche);1;1;1;1;1;1;1;1;1;1;1.002687;1;1;1;1.0001167
Government consumption Real 1 (G€);0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.1
Investment Nominal 0;0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
Investment Nominal 1;0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
I Price Index (Paasche);-5.914e-10;-3.061e-10;-2.143e-11;-9.764e-12;5.870e-11;-1.108e-10;1;1;1;1;2.833e-12;-1.129e-12;1;1;1.0001167
Investment Real 1 (G€);0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
Exports Nominal 0;0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
Exports Nominal 1;0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
X Price Index (Paasche);1;1;1;1;1;0;1;0;0;1;1.002413;0;1;0;1.0001186
Exports Real 1 (G€);0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
Imports Nominal 0;15.6;9.7;1.3;16.2;1.7;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7
Imports Nominal 1;14.2;9.2;1.2;15.6;1.6;0;126.1;0;0;53;1.9;0.5;43.6;0;336.6
M Price Index (Paasche);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);14.2;9.2;1.2;15.6;1.6;0;126.1;0;0;53;1.9;0.5;43.6;0;336.6
