;2030;2040;2050
Crude_oil;39.3518921213765;42.2606904385278;70.9666091310241
Liquid_fuels;0.332743496060562;0;0
Gas_fuels;4.60794250061716;0.632544533931613;0.00988138604660729
Solid_fuels;0.326842752053261;0.115565342935507;0.00551623524366735
Elec_heating;0;0;0
Steel_Iron;0;0;0
NonFerrousMetals;0;0;0
Cement;0;0;0
OthMin;0;0;0
ChemicalPharma;0;0;0
Paper;0;0;0
Auto_indus;0;0;0
OthEquip;0;0;0
Electronics;0;0;0
Food_industry;0;0;0
OthManuf;0;0;0
LandTransp;0;0;0
NavalTransp;0;0;0
AirTransp;0;0;0
AgriForest_Fish;0;0;0
Construction;0;0;0
Property_business;0;0;0
Compo;0;0;0
ktoe;0;0;0
