2022;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;3761.4;0;0;0;116.2111827;13296.18969;1002.365007;68.28294769;4.316435499;20.01484613;47.97045057;268.6189202;0;0;0;0;0;0;18585.36948;2650.829582;15934.5399
COilFFuelExDies;0;52881.44309;0.000471677;0;39179.58237;1618.834489;2.213465724;6.008917868;35.14192271;3296.709052;307.2814234;2035.812715;2818.4464;75.46341642;349.9157276;408.4389028;1798.048468;7558.334938;760.3275964;25219.97258;0;0;114248.9499;252600.9259;229050.9059;23550.01996
NaturalGas;0;16294.91466;9335.009383;0;1611.384055;0;0;0;0;1.609975319;473.3099417;252.4644617;830.5641262;59.05954081;273.8527246;339.0190386;1700.391808;645.8038763;70.69433339;258.5139446;0;0;0;32146.59187;27971.63385;4174.958024
Allbiofuel;0;0;0;1894.733754;0;2933.752307;196.6468881;533.8393032;3122.049584;293.9444916;3314.630383;12.7600318;64.93676319;406.285611;1883.902584;9899.2449;3213.122853;4926.947033;174.3391326;15988.44358;0;0;0;48859.5792;48859.5792;0
Diesel;0;0;0;0;0;0;327.5846611;889.2974044;5200.873325;53.48708632;36.34106463;9.53333487;17.57269444;42.00938477;194.7929889;192.185592;548.6230075;37209.03472;32.92738253;0;0;0;0;44754.26265;35269.14937;9485.113278
Electricity;0;1331.26344;0.000650987;688.9448409;147.3455439;11474.70425;142.4749166;386.7781023;2261.992338;555.040485;2389.388487;2715.137353;1856.023565;440.4767603;2042.443258;2210.183113;6399.615056;218.0368785;13454.63351;13754.50085;0;0;0;62468.9834;60477.92915;1991.054252
PlantedForest;3.77965318;1770.59982;772.2634123;112931.3925;0;2353.712233;2911.495062;2531.17655;11245.35645;3517.839082;7182.394558;1189.989307;2934.607501;921.1647157;2257.744798;82405.91206;19036.39818;10352.38285;4055.873691;0;0;0;0;0;287652.0688;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9077.505527;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;384136.1592;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64960.63856;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56537.04866;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22440.39338;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;272682.6317;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12786.32003;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1016278.337;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38812.37417;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1882324.546;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;501687.7722;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6258452.852;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
