current_year;2030;2040;2050
Crude_oil;0.0;0.0;0.0
Liquid_fuels;0.0;0.0;0.0
Gas_fuels;0.0;0.0;0.0
Solid_fuels;0.0;0.0;0.0
Elec_heating;0.0;0.0;0.0
Steel_Iron;927.1729916000385;926.0282802947287;1188.5611240694088
NonFerrousMetals;871.6134999643444;1023.9825145225243;1271.76213289969
Cement;1104.4776119402984;1104.4776119402984;1373.134328358209
OthMin;951.5329928405332;988.5866672910764;1062.6613250311868
ChemicalPharma;996.5209850331858;1048.604658136016;1318.9346975362078
Paper;932.5520820156311;1041.4007825907786;1337.73526893885
Auto_indus;0.0;0.0;0.0
OthEquip;0.0;0.0;0.0
Electronics;0.0;0.0;0.0
Food_industry;0.0;0.0;0.0
OthManuf;0.0;0.0;0.0
LandTransp;0.0;0.0;0.0
NavalTransp;0.0;0.0;0.0
AirTransp;0.0;0.0;0.0
AgriForest_Fish;0.0;0.0;0.0
Construction;0.0;0.0;0.0
Property_business;0.0;0.0;0.0
Compo;0.0;0.0;0.0
