Macro results;in %
Carbon Tax rate;100 euro/tCO2
Labour Tax cut;Labour tax reduction
Real GDP (Laspeyres);1.2671372
Households consumption in GDP;-0.1362360
Public consumption in GDP;0.0007533
Investment in GDP;1.2883427
Exports in GDP;0.0818405
Imports in GDP;-0.0324367
Imports/Domestic production ratio;0.0211162
Imports of Non Energy goods in volume;0.3041599
Exports of Non Energy goods in volume;0.4285081
Total Employment;1.7148893
Unemployment rate (% points);-0.0154845
Net-of-tax wages;0.1931190
Labour Intensity (Laspeyres);0
Labour tax rate (% points);-0.0330379
Energy Input Price (Laspeyres);28.708445
Energy Intensity (Laspeyres);-1.8920604
Energy cost share for non-energetic sector;20.338583
Production Price (Laspeyres);-0.4272005
Production Price Energy goods (Laspeyres);6.1545382
Production Price Non Energy goods (Laspeyres);-0.5702861
Real Households consumption (Laspeyres);-0.2501999
 Energy in Households consumption;-0.329921
 Non Energy goods in Households consumption;0.0797211
Public Deficits;-24.362944
Total Emissions;-6.0185333
;
Most sensitif import Elasticity for NonEner;1.990099
 Most sensitif export Elasticity for NonEner ;3.4158416
 Global mean wage/Unemployment Elasticity;0
