Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;9.7;0;43.7;29.2;1.1;50.4;0;14.7;69.7;0.8;18;177.2;234.9;618.7
Households consumption Nominal 1;0;12.5;0;51.7;29.2;1.2;50.2;0;14.6;69.5;0.8;18;176.6;234.1;616.6
HPrice Index (Paasche);-0.0466220;1.3606956;3.5836449;1.246627;1.0507843;1.1699363;1.011527;0.0000026;0.9906527;0.9966335;1.0814412;1.0139875;1.0030044;0.9960555;0.9917810
Households consumption Real 1 (G€);0;9.2;0;41.5;27.8;1;49.6;0;14.7;69.7;0.7;17.7;176.1;235;621.7
Government consumption Nominal 0;0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.1
Government consumption Nominal 1;0;0;0;0;0;0;29.8;0;0;0;3.3;0;0.2;16.7;550.4
G Price Index (Paasche);0.9999167;0.9979353;1.8088999;1.0063486;1.0506141;1.1700543;1.011527;0.9917742;0.9906527;0.9966375;1.0814412;1.0139875;1.0030044;0.9960555;0.9917810
Government consumption Real 1 (G€);0;0;0;0;0;0;29.4;0;0;0;3;0;0.2;16.8;555
Investment Nominal 0;0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
Investment Nominal 1;0;0;0;0;0;0;0.2;63.1;179.4;27.5;0;0;1.9;9.8;254.4
I Price Index (Paasche);6.799e-11;4.076e-10;1.6313466;-4.708e-11;-3.458e-10;-0.0000007;1.011527;0.9917742;0.9906527;0.9966494;-3.513e-10;3.433e-10;1.0030044;0.9960555;0.9917810
Investment Real 1 (G€);0;0;0;0;0;0;0.2;63.6;181;27.6;0;0;1.9;9.8;256.5
Exports Nominal 0;0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
Exports Nominal 1;0;0.7;0.1;10.1;4.1;0;124.7;0;0;47;1.1;0;46.5;0;320.6
X Price Index (Paasche);0.9999166;0.9979096;1.8127543;1.0113349;1.0516103;0;1.0115676;0;0;0.9966744;1.0731382;0;1.0029944;0;0.9916430
Exports Real 1 (G€);0;0.7;0;10;3.9;0;123.3;0;0;47.1;1.1;0;46.4;0;323.3
Imports Nominal 0;15.6;9.7;1.3;16.2;1.7;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7
Imports Nominal 1;14.3;9.2;1.2;15.6;1.6;0;128.5;0;0;53.5;1.9;0.5;44;0;337.2
M Price Index (Paasche);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);14.3;9.2;1.2;15.6;1.6;0;128.5;0;0;53.5;1.9;0.5;44;0;337.2
