Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;-0.5826761;-0.4618881;178.49038;1.7678455;5.3433152;17.1597;2.0232306;-0.8260931;-0.9390069;-0.6155306;4.4316737;1.3403718;0.3679808;-0.3945912;-0.9478498
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;-1.4728825;Nan;0.603208;-0.0005064;-7.8425675;-1.7119636;-0.6356859;0.0575223;0.4887615
Exports in volume;0;0;0;0;0;Nan;-1.7063375;Nan;Nan;1.1443539;0;Nan;-0.3664051;Nan;1.1522929
Imports in volume;-8.682924;-5.0630312;-9.5112772;-3.8970084;-4.5019783;-52.033429;1.5766074;-37.802953;-39.0715;0.5340464;0.3513419;-1.7119636;0.3857154;-44.786677;-0.1530130
Trade balance ;-8.6885634;-5.4652508;-11.698746;-11.868417;12.585853;-4.8439783;256.52893;5.9493847;4.9675177;-1.4055962;-7.8860827;-1.7119636;-7.3844758;1.5395983;-8.2606539
Energy Cost share variation;0.6333438;0.2522582;19.178316;1.5500558;104.64563;7.602585;39.112929;22.373073;18.146391;15.148016;17.603264;12.436258;26.196327;11.733238;11.733761
 Energy/Labour cost variation;2.1807887;1.9175184;238.97894;5.5494621;120.17841;28.755632;44.954548;23.950581;19.533164;16.880015;25.434468;16.373516;29.362136;13.666002;13.035172
Labour;-8.682924;-5.0630312;-9.5112772;-3.8970084;-4.5019783;-4.9349123;-1.9027441;5.8749816;4.8917779;1.5718684;0.3513419;-1.7119636;-0.3454027;0.4739502;1.4723695
Unitary Labour Cost variation;-2.0882705;-2.0882705;-2.0882705;-2.0882705;-2.0882705;-2.0882705;-2.0882705;-2.0882705;-2.0882705;-2.0882705;-2.0882705;-2.0882705;-2.0882705;-2.0882705;-2.0882705
Net nominal wages;0.1931190;0.1931190;0.1931190;0.1931190;0.1931190;0.1931190;0.1931190;0.1931190;0.1931190;0.1931190;0.1931190;0.1931190;0.1931190;0.1931190;0.1931190
Net real wages (Consumer Price Index);-0.6374041;-0.6374041;-0.6374041;-0.6374041;-0.6374041;-0.6374041;-0.6374041;-0.6374041;-0.6374041;-0.6374041;-0.6374041;-0.6374041;-0.6374041;-0.6374041;-0.6374041
Purchasing power of wages_Households;1.0020147;0.7363375;0.2795844;0.8037137;0.9535080;0.8563980;0.9905135;1.0102412;1.0113849;1.0053156;0.9264777;0.9881100;0.9989300;1.005899;1.0102343
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;Labour tax reduction;;;;;;;;;;;;;;
