Aggregation_type;-;-;-;-;-;-;-;AGG_EnComp
Row;Crude_oil;Commodities;EnerSect;HybridCommod;PrimEnerSect;Oil;-;AllEnergy
Row;Gas;Commodities;EnerSect;HybridCommod;PrimEnerSect;Gas;-;AllEnergy
Row;Fossil_fuels;Commodities;EnerSect;HybridCommod;FinEnerSect;Liquid;-;AllEnergy
Row;Biofuels;Commodities;EnerSect;HybridCommod;FinEnerSect;Bioliq;-;AllEnergy
Row;Elec;Commodities;EnerSect;HybridCommod;FinEnerSect;Elec;-;AllEnergy
Row;Renew;Commodities;EnerSect;HybridCommod;FinEnerSect;-;-;AllEnergy
Row;Agri;Commodities;NonEnerSect;NonHybridCommod;AgriCat;-;-;AllComp
Row;Cattle;Commodities;NonEnerSect;NonHybridCommod;AgriCat;-;-;AllComp
Row;Cement;Commodities;NonEnerSect;NonHybridCommod;Indus;Cement;Manuf;AllComp
Row;IronSteel;Commodities;NonEnerSect;NonHybridCommod;Indus;IronSteel;Manuf;AllComp
Row;RestHeavIndus;Commodities;NonEnerSect;NonHybridCommod;Indus;-;Manuf;AllComp
Row;FoodBevarage;Commodities;NonEnerSect;NonHybridCommod;Indus;-;Manuf;AllComp
Row;RestManufIndus;Commodities;NonEnerSect;NonHybridCommod;Indus;LightIndus;Manuf;AllComp
Row;TransRoadFreight;Commodities;NonEnerSect;NonHybridCommod;Service;Transp;TranspRFR;AllComp
Row;TransRoadPass;Commodities;NonEnerSect;NonHybridCommod;Service;Transp;TranspRPAS;AllComp
Row;RestTrans;Commodities;NonEnerSect;NonHybridCommod;Service;Transp;-;AllComp
Row;CommerceServ;Commodities;NonEnerSect;NonHybridCommod;Service;-;OthServ;AllComp
Row;Construction;Commodities;NonEnerSect;NonHybridCommod;Indus;-;-;AllComp
Row;Composite;Commodities;NonEnerSect;NonHybridCommod;Service;Comp;OthServ;AllComp
Row;Labour_income;OthPart_IOT;Value_Added;-;-;-;-;-
Row;Labour_Tax;OthPart_IOT;Value_Added;-;-;-;-;-
Row;Capital_income;OthPart_IOT;Value_Added;-;-;-;-;-
Row;Production_Tax;OthPart_IOT;Value_Added;-;-;-;-;-
Row;Profit_margin;OthPart_IOT;Value_Added;-;-;-;-;-
Row;M_value;OthPart_IOT;-;-;-;-;-;-
Row;Trade_margins;OthPart_IOT;Margins;-;-;-;-;-
Row;Transp_margins;OthPart_IOT;Margins;-;-;-;-;-
Row;SpeMarg_Crude_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Gas;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Fossil_fuels;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Biofuels;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Elec;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Renew;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Agri;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Cattle;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Cement;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_IronSteel;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_RestHeavIndus;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_FoodBevarage;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_RestManufIndus;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_TransRoadFreight;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_TransRoadPass;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_RestTrans;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_CommerceServ;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Construction;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_Composite;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-
Row;SpeMarg_C;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-
Row;SpeMarg_G;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-
Row;SpeMarg_I;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-
Row;SpeMarg_X;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-
Row;VA_Tax;OthPart_IOT;Taxes;-;-;-;-;-
Row;Energy_Tax_IC;OthPart_IOT;Taxes;-;-;-;-;-
Row;Energy_Tax_FC;OthPart_IOT;Taxes;-;-;-;-;-
Row;ClimPolCompensbySect;OthPart_IOT;Taxes;-;-;-;-;-
Row;OtherIndirTax;OthPart_IOT;Taxes;-;-;-;-;-
Column;Crude_oil;Sectors;NonSupplierSect;-;-;-;-;-
Column;Gas;Sectors;NonSupplierSect;-;-;-;-;-
Column;Fossil_fuels;Sectors;NonSupplierSect;-;-;-;-;-
Column;Biofuels;Sectors;-;-;-;-;-;-
Column;Elec;Sectors;-;-;-;-;-;-
Column;Renew;Sectors;-;-;-;-;-;-
Column;Agri;Sectors;-;-;-;-;-;-
Column;Cattle;Sectors;-;-;-;-;-;-
Column;Cement;Sectors;-;-;-;-;-;-
Column;IronSteel;Sectors;-;-;-;-;-;-
Column;RestHeavIndus;Sectors;-;-;-;-;-;-
Column;FoodBevarage;Sectors;-;-;-;-;-;-
Column;RestManufIndus;Sectors;-;-;-;-;-;-
Column;TransRoadFreight;Sectors;-;-;-;-;-;-
Column;TransRoadPass;Sectors;-;-;-;-;-;-
Column;RestTrans;Sectors;-;-;-;-;-;-
Column;CommerceServ;Sectors;-;-;-;-;-;-
Column;Construction;Sectors;-;-;-;-;-;-
Column;Composite;Sectors;-;-;-;-;-;-
Column;C;FC;-;-;-;-;-;-
Column;G;FC;-;-;-;-;-;-
Column;I;FC;-;-;-;-;-;-
Column;X;FC;-;-;-;-;-;-
