;Crude_oil;Natural_gas;Coal;Fuels;OthFuels;Electricty;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural_gas;0;0;0;0;0;2149.6130696475;854.491779203;1860.2127215413;0.006269461;0.0218580255;0.295166333;3303.7446154216;299.1193216154;1370.4306682499;0.0003758341;913.0294063294;2667.7723755245;0;0;0;13418.7376271861;13418.7376271861;0
Coal;0;0;744.7602244195;0;0;0;0;744.7602244195;0;0;0;0;0;2.2137192705;0;0;0;0;0;0;1491.7341681096;744.7602244196;746.97394369
Fuels;0;0;0;0;0;0;0;0;0.0031516597;0.0362333489;0.0514582389;1581.6083156936;169.2647524893;0;7.51925704461798E-05;2677.2728220978;1252.1382599823;0;0;0;5680.3750687031;3279.6485282665;2400.7265404366
OthFuels;0;0;0;0;0;0;0;543.8336849897;0.0103172455;0.01824709;0.0330513973;354.5145238775;50.2002339204;0;2.8412921399516E-05;1719.6003370414;168.1238726659;0;0;0;2836.3342966405;938.8287458323;1897.5055508082
Electricty;0;1227.2696807367;3.7665669905;52.3508921193;14.9859114377;0;1045.8229934278;8960.6454964764;0.0030976002;0.0305092517;0.4046187599;2471.5425191499;1244.4318613136;3819.3480455622;0.0005245861;17852.4079053389;15587.7639982086;0;0;1751.544145399;54032.3187663583;54032.3187663583;0
HeatGeoSol_Th;0;0;0;0;0;0;0;329.1789286835;0;0.0042339814;0;0;0;88.0154959277;7.28004649367858E-05;1543.3537847729;2128.5056205612;0;0;0;4089.0581367273;4089.0581367273;0
Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155723.901992386;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79010.2573294557;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;349504.249309194;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2260;0;0;0;0;2877.67;0
Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439165.38318963;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309219.260412202;0;0;0;0;309219.260412202;0
Agri_Food_industry;0;3505.4666799947;0.2300109141;13.731894199;1.395089244;44.2521239346;1.8505628747;2073.3963572945;74.6002093876;874.428311754;94.9321261401;15.018992097;5.3109605756;71454.1172944851;146.1925832629;52937.0735060597;120634.04449569;0;0;0;0;219328.663678362;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2925764.08625199;0;0;0;0;4223682.987015;0
OthSectors;13.3196734636;49131.3583522191;49.8916742136;1216.6861143304;263.9075735618;10607.1084086278;432.573156797;55431.8977590172;19697.7193184016;105464.936515892;36138.36;19282.6842749568;6818.6713624733;47150.8007998031;49154.1604960843;1725849.02248017;0;0;0;0;0;4569477.31618983;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
