ConstrainedShare_C;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Natural_gas;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Coking_coal;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Bituminous_coal;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Coke;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Other_coal;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Gasoline;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
LPG;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Jetfuel;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Fuel;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Fuel_oil;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Heavy_fuel_oil;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Other_fuel_prod;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Electricity;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
HeatGeoSol_Th;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
Steel_Iron;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
NonFerrousMetals;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Cement;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
OthMin;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Buildings_constr;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Work_constr;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
ChemicalPharma;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Paper;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Mining;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Automobile;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
OthTranspEquip;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Load_PipeTransp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
PassTransp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
NavalTransp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
AirTransp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Agri_Forestry;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Fishing;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Food_industry;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Property_business;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Comp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
