CarbonTax_Diff_C;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Natural_gas;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Coking_coal;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Bituminous_coal;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Coke;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Other_coal;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Gasoline;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39
LPG;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Jetfuel;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Fuel;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Fuel_oil;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39;-0.39
Heavy_fuel_oil;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Other_fuel_prod;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Electricity;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
HeatGeoSol_Th;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03
Steel_Iron;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
NonFerrousMetals;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Cement;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
OthMin;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Buildings_constr;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Work_constr;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
ChemicalPharma;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Paper;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Mining;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Automobile;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
OthTranspEquip;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Load_PipeTransp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
PassTransp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
NavalTransp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
AirTransp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Agri_Forestry;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Fishing;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Food_industry;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Property_business;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
Comp;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan;%nan
