Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;4.9463638;4.7013415;182.00567;3.5503691;11.054503;22.39297;5.3539515;3.1109564;2.2962886;2.254098;7.2573892;4.5440819;3.5369573;13.757498;2.8636682
Real Households consumption_Households;Nan;-4.995991;-4.995991;-4.995991;-4.995991;-4.995991;-1.769422;Nan;-1.1054869;-0.0503148;-8.9269488;-3.4245453;-1.6523169;-11.074551;-1.369609
Exports in volume;0;0;0;0;0;Nan;-4.3096606;Nan;Nan;-3.9645714;0;Nan;-3.3855245;Nan;-3.4469924
Imports in volume;-9.5577798;-6.8928971;-12.437983;-4.8183294;-6.2665913;-53.152701;2.4667753;-38.069875;-39.366813;1.2644567;-2.1415218;-3.4245453;3.358225;-49.874016;3.3711491
Trade balance ;-9.5640394;-7.6403779;-14.734537;-16.060739;23.696723;-7.0643885;467.90175;5.494698;4.4587527;30.187549;-16.437302;-3.4245453;-65.049721;-7.8152314;79.254552
Energy Cost share variation;0.1814695;0.1826924;18.259378;0.2029213;95.464844;6.0369934;37.92858;19.518149;16.960352;15.487664;15.365776;11.443017;24.909506;1.4516069;11.57731
 Energy/Labour cost variation;4.86512;4.6215644;232.63634;3.492362;116.51156;29.44645;44.937698;22.917846;19.336915;17.785705;23.418561;16.206007;28.9933;15.110576;14.475924
Labour;-9.5577798;-6.8928971;-12.437983;-4.8183294;-6.2665913;-7.1532007;-6.4229335;5.4206143;4.3833799;-2.4214299;-2.1415218;-3.4245453;-3.5496724;-8.7827241;-1.4608447
Unitary Labour Cost variation;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846
Net nominal wages;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846;0.2590846
Net real wages (Consumer Price Index);-5.2509493;-5.2509493;-5.2509493;-5.2509493;-5.2509493;-5.2509493;-5.2509493;-5.2509493;-5.2509493;-5.2509493;-5.2509493;-5.2509493;-5.2509493;-5.2509493;-5.2509493
Purchasing power of wages_Households;1.0018822;0.7244922;0.2785304;0.8001101;0.9072687;0.8206102;0.9736050;0.9724665;0.9801856;0.9906438;0.9026637;0.9572004;0.9747657;0.8813779;0.9775677
Carbon Taxe rate;100 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;No recycling revenues;;;;;;;;;;;;;;
