Variable;Nominal 0 (G€);Nominal 1 (G€);Price Index (Paasche);Real 1 (G€);Real term ratio
GDP;2328.6;2398.3;1.0508961;2282.2;0.9800599
Households consumption;1294.7;1294.7;1.0572205;1224.6;0.9657979
Households consumption - Non-energy goods;1197.9;1197.9;1.0461661;1145;0.9669121
Households consumption - Energy goods;96.8;96.8;1.2163386;79.5;0.9500401
Government consumption;622.1;622.1;1.0290485;604.5;1.0001607
Government consumption - Non-energy goods;622.1;622.1;1.0290485;604.5;1.0001607
Government consumption - Energy goods;0;0;1.8248938;0;Nan
Investment;555;555;1.0264528;540.7;1.0588618
Investment - Non-energy goods;555;555;1.0264528;540.7;1.0588618
Investment - Energy goods;0;0;1.8152768;0;Nan
Exports;548.2;548.2;1.0266285;534;0.9641700
Exports - Non-energy goods;532.9;532.9;1.0260586;519.4;0.9631965
Exports - Energy goods;15.3;15.3;1.0468341;14.7;1
Imports;621.6;621.6;1;621.6;1.021989
Imports - Non-energy goods;580.2;580.2;1;580.2;1.0294355
Imports - Energy goods;41.4;41.4;1;41.4;0.9278670
Net-of-tax wages;-;-;-;for nominal ratio:;1.0025908
Total Employment;-;-;-;Abs ratio:;0.9891657
