Emission CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;CO2Emis_C;CO2Emis_X
Crude;0;0;0;-9.6;0;0;0;0;0;0;0;0;0;0;0;0;0
Natur;-14.1;0;-16.8;-9.6;-10.9;-11.8;-11.1; 0.2;-0.8;-7.3;-7;-8.2;-8.4;-13.3;-6.4;-5;0
Coal ;0;0;-16.8;0;-10.9;-11.8;-11.1;0;-0.8;-7.3;0;0;-8.4;-13.3;-6.4;-5;0
AllFu;0;0;0;0;-10.9;-11.8;-11.1; 0.2;-0.8;-7.3;-7;-8.2;-8.4;-13.3;-6.4;-5;0
Elect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heavy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Autom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Load_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthSe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2Emis_Sec;-14.1;0;-16.8;-9.6;-10.9;-11.8;-11.1; 0.2;-0.8;-7.3;-7;-8.2;-8.4;-13.3;-6.4;;
Tot_CO2Emis_IC;-9.3;;;;;;;;;;;;;;;;
Tot_CO2Emis_C;-5;;;;;;;;;;;;;;;;
DOM_CO2;-7.7;;;;;;;;;;;;;;;;
Units;0.01 MtCO2;;;;;;;;;;;;;;;;
