Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;9.7;0;43.7;29.2;1.1;50.4;0;14.7;69.7;0.8;18;177.2;234.9;618.7
Households consumption Nominal 1;0;12.8;0;52;30.7;1.3;51;0;14.8;70.5;0.8;18.2;179.2;237.6;625.8
HPrice Index (Paasche);0.0370571;1.3838533;3.5995746;1.2530661;1.1050649;1.2217626;1.0297717;0.0000099;1.0228582;1.0120599;1.1107025;1.04742;1.0285455;1.1375266;1.0255973
Households consumption Real 1 (G€);0;9.2;0;41.5;27.8;1;49.5;0;14.5;69.7;0.7;17.4;174.3;208.8;610.2
Government consumption Nominal 0;0;0;0;0;0;0;30;0;0;0;3.3;0;0.2;16.8;554.1
Government consumption Nominal 1;0;0;0;0;0;0;30.8;0;0;0;3.4;0;0.3;17.3;570.3
G Price Index (Paasche);1.0007073;1.0210157;1.8248309;1.0127499;1.1047127;1.2219166;1.0297717;1.0309773;1.0228582;1.0120456;1.1107025;1.04742;1.0285455;1.1375266;1.0255973
Government consumption Real 1 (G€);0;0;0;0;0;0;30;0;0;0;3;0;0.2;15.2;556.1
Investment Nominal 0;0;0;0;0;0;0;0.2;60.1;170.8;26.2;0;0;1.8;9.3;242.3
Investment Nominal 1;0;0;0;0;0;0;0.2;65.3;185.6;28.4;0;0;2;10.1;263.3
I Price Index (Paasche);-1.231e-08;1.951e-10;1.8152767;6.106e-11;2.161e-08;-0.0000615;1.0297717;1.0309773;1.0228582;1.0120027;-1.924e-09;-5.791e-12;1.0285455;1.1375266;1.0255973
Investment Real 1 (G€);0;0;0;0;0;0;0.2;63.3;181.5;28.1;0;0;1.9;8.9;256.7
Exports Nominal 0;0;0.7;0;10;3.9;0;125.4;0;0;46.6;1.1;0;46.5;0;319.6
Exports Nominal 1;0;0.8;0.1;10.2;4.3;0;123.6;0;0;45.3;1.2;0;46.2;0;316.6
X Price Index (Paasche);1.0007077;1.0212771;1.8287612;1.0227639;1.1067738;0;1.0298765;0;0;1.0119132;1.0994163;0;1.0284504;0;1.026027
Exports Real 1 (G€);0;0.7;0;10;3.9;0;120;0;0;44.8;1.1;0;45;0;308.6
Imports Nominal 0;15.6;9.7;1.3;16.2;1.7;0;126.5;0;0;53.2;1.9;0.5;43.8;0;337.7
Imports Nominal 1;14.1;9;1.2;15.5;1.6;0;129.6;0;0;53.9;1.9;0.5;45.3;0;349.1
M Price Index (Paasche);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);14.1;9;1.2;15.5;1.6;0;129.6;0;0;53.9;1.9;0.5;45.3;0;349.1
