Emission CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;CO2Emis_C;CO2Emis_X
Crude;0;0;0;12.5;0;0;0;0;0;0;0;0;0;0;0;0;0.2
Natur;0;0;0;0.6;6.4;2.8;13.4;0.1;0.7;0.4;0.1;0.1;6.3;0.4;18;27.1;6
Coal ;0;0;12.1;0;12.6;0.7;14.8;0;0;0;0;0;2;0;0.5;0.1;0.7
AllFu;0;0;0;0;4.9;1;4.9;0.2;2;0.1;41.1;2.7;9.5;0.1;10.2;85.9;75.5
Elect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HeatG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heavy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Autom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Load_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthSe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2Emis_Sec;0;0;12.1;13.1;23.8;4.4;33.1;0.3;2.7;0.5;41.2;2.7;17.8;0.6;28.7;;
Tot_CO2Emis_IC;181;;;;;;;;;;;;;;;;
Tot_CO2Emis_C;113.1;;;;;;;;;;;;;;;;
DOM_CO2;294.1;;;;;;;;;;;;;;;;
Units;1 MtCO2;;;;;;;;;;;;;;;;
