;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;52510730.76
GOS_byAgent;406638881.6;57863601.08;153844284.5;0
NetCompWages_byAgent;0;0;740467720.5;0
InsuranceContrib_byAgent;0;325294206.2;0;0
Production_Tax_byAgent;0;57305585.37;0;0
Energ_Tax_byAgent;0;23577000;0;0
Carbon_Tax_byAgent;0;0;0;0
OtherIndirTax_byAgent;0;36613000;0;0
VA_Tax_byAgent;0;135578990;0;0
Property_income;-68823000;-31360000;123122000;-22939000
Unemployment_transfers;0;-42550000;42550000;0
Pensions;0;-278543000;278543000;0
Other_social_transfers;0;-94245000;94245000;0
ClimPolicyCompens;0;0;0;0
Other_Transfers;-90502428.61;58083617.36;24856261.01;7562550.238
Income_Tax;0;142634000;-142634000;0
Corporate_Tax;-36683000;36683000;0;0
Other_Direct_Tax;0;21618000;-21618000;0
Disposable_Income;210630453;448553000;1293376266;37134281
FC_byAgent;0;521643000;1091330000;0
GFCF_byAgent;200125000;64284000;112312000;0
Tot_FC_byAgent;200125000;585927000;1203642000;0
NetLending;10505453;-137374000;89734266;37134281
NetFinancialDebt;1911288000;1067584000;-2624160000;-354712000
Thousand of euros;0;0;0;0
