Quantities;Crude_oil;Natural_gas;Coking_coal;Bituminous_coal;Coke;Other_coal;Gasoline;LPG;Jetfuel;Fuel;Fuel_oil;Heavy_fuel_oil;Other_fuel_prod;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;Work_constr;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Food_industry;Property_business;Comp;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;0;0;0;16977.9395325571;1770.7867996044;5408.0818158477;24972.697989064;9509.1936782238;4641.3093434704;3687.7479873845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.798;67020.5551461519;2406.2888623921;64614.2662837599
Natural_gas;9.8030262736;0;0;0;1.4376525031;0.3891362504;213.2705301685;22.2439618684;67.9343022661;313.6976975122;119.4509365133;58.3023930825;46.3241117622;4190.6773693887;2510.912910022;795.5839098926;215.8293569124;305.7612121866;1226.3226888333;39.5481372336;309.4595821683;803.088693959;871.7233182759;59.5907912053;288.1503341351;173.5674513596;68.3821479627;17.8411907578;0;1.4188299196;209.6680408082;0.8806268655;2370;303.8955414541;9956.6049102141;14396.3985703772;0;0;2556.5014490296;42524.6608111615;636.2208343684;41888.439976793
Coking_coal;0;0;0;0;2530.4386107318;684.9258709208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82.4640183474;3297.8285;0;3297.8285
Bituminous_coal;0;0;0;0;0;0;0;0;0;0;0;0;0;4873.7771434305;10.8595817828;1589.7031475386;0.7878705634;301.7255110379;103.2399585252;0;0;314.3603547776;31.5148225341;0;0;0;0;0;0;0;0;0;264;0;137.8139873097;409.6926929432;0;0;12.283254018;8049.7583244609;159.3348423999;7890.423482061
Coke;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2701.6285310541;0;0;70.4999322439;0;2.0184692007;14.6322490528;0;0;3.7719822841;1.548654733;0;0;0;0;0;0;21;0.2192297565;28.6400037268;0;0;0;81.8075290447;2925.7665810966;2118.9840305587;806.7825505379
Other_coal;0;0;0;0;246.3844956823;66.690064944;0;0;0;0;0;0;0;450.4830098049;0;344.3139122796;0;0;0;0;1.4067580624;0;0;0;0;0;0;0;0;0;0;0;0;0.1527906531;19.9604512845;74.902;0;0;1.529;1205.8224827108;1110.9890369416;94.8334457692
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9022623497;0.9022623497;1.5017287645;3.003457529;2.0032953338;16.6455280361;51.2060951463;1.4969265481;1.6075109253;2.3893157911;0.9809762957;124.2600165066;32.4199622871;28.1505695168;50.978770666;22.9161599858;2.955704282;8.4081971095;1.8079022739;236.1829374541;7821.0599285541;0;0;6661.198457072;15072.977964777;14127.2831206259;945.6948441511
LPG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.4651289194;9.697693379;9.2314595215;16.6300369097;0;43.2881545515;811.3923137008;15.0859546477;14.0081062432;11.4583797343;4.7044425641;4.1948999169;1.0944670774;0.95033644;1.7209947885;286.6272537833;0;91;4.7016083166;614.214429051;1364.8317521027;0;0;1095.8638706751;4407.1612823226;1924.7034887552;2482.4577935674
Jetfuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1445645149;0;0;0;0;0;0;0;0;3225.7499397765;0;0;0;0.0157014253;2.0512219077;0;0;0;5084.6648527558;8312.6262803802;4347.4890445692;3965.137235811
Fuel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.5475068293;24.5475068293;40.856960409;81.7139208179;54.5028903185;452.8685179663;1393.1446553972;40.7263083429;43.7349352188;65.0052013311;26.6890470663;4048.3795392134;1056.2392930178;917.1428819415;1660.8835078298;2354.9600378829;255.9606881732;228.7586044436;49.1869060359;6425.7388904588;15630.3277069063;0;0;2748.2004565742;37624.1159630041;21785.1057343084;15839.0102286957
Fuel_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;128.4081038139;1.389115789;12.816486545;12.816486545;42.834794433;21.1606272192;28.4564768751;236.4469559995;727.3740610518;7;85;2.835737354;1.164262646;836.7232563962;218.3046258946;189.5560362673;343.2731155034;325.520239435;41.9852875074;37;25.6809509732;3354.9393265834;6154.0332137585;0;0;0;12834.7191605907;8295.4108450293;4539.3083155614
Heavy_fuel_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;857.2319342082;0.6402763615;0;13.7545738098;34.2744436767;319.8941348399;0;7.6814226631;311.7591424785;48.1392087826;12.6076595;0.8122364282;0.3334781805;396.5957331725;103.4734991526;89.8470487177;162.7069068306;45.8465798641;0;255;0.8342938397;108.9914939595;197.1420929676;0;0;7680.3451418144;10647.9113012478;3731.0902849259;6916.8210163219
Other_fuel_prod;0;0;0;0;0;0;0;0;0;0;0;0;0;102.1291097106;171.0135610445;10.6386946601;142.1609527199;532.63166301;15.3761547328;0;14.2430937308;2364.737692957;0;0;0;0;0;0;0;0;0;0;3;1.5469693414;202.0948634656;284.5048965184;0;0;2591.4340729166;6435.5117248076;3973.6716522774;2461.8400725303
Electricity;26.9849735375;17.0522309506;0;4.9395343437;0.0658869787;0.0178339423;69.0033532062;7.1969997744;21.9800393912;101.4964092991;38.6481674544;18.8636499354;14.9880953705;0;180.9814909946;855.3766506751;625.2278386259;307.8057190517;460.2500109368;19.5398481332;431.9411322434;2314.0462586531;770.5673576209;48.139529621;395.001110608;237.9290527573;818.6884443397;213.5992673798;0;16.9865921771;284.4836898301;10.2976732928;1446;424.1748901089;13897.3470075928;13602.1380478786;0;0;4316.1937422665;41997.9525289715;40430.4508934744;1567.5016354972
HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59.943480488;0;0;0;0;0;0;0;0;0;6.376;0;264;58.8657049554;1928.6316745472;96.8336400094;0;0;0;2414.6505;2414.6505;0
Steel_Iron;0;4.580857152;0;0;0.3844734425;18.8171588534;2.5374901088;4.5073647032;0.2709494219;20.1646780411;4.2891294727;2.0865327013;3.1126560798;16.0358465451;0.3400314832;9662.8472472407;701.3138749752;15.5120247396;226.1145160297;161.3452513813;3225.2888654908;227.7076257015;15.2346371649;9.1961773373;1769.1234964648;416.4069976115;6.952308844;1.813886694;3.9842691939;0.373363569;11.8323640855;0;10.1209989863;0;9161.5428535446;182.9556432396;0;65.8113824603;20297.6683;46250.2732527593;30363.1527527593;15887.1205
NonFerrousMetals;0;5.8817592681;0;0;0.4936587539;24.1609800986;3.2581033352;5.7873959475;0.347895431;25.891176699;5.5071848326;2.6790800601;3.9966087433;20.5898123229;0.4365958731;5396.983200875;900.477628328;9.5343527197;300.7108914382;207.165143155;666.9826672587;292.3735435166;19.561070203;11.8077686095;2271.5308896069;534.6610112935;8.9266714985;2.329006236;5.1157483152;0.479393825;15.1925971086;0;12.9952272281;0;15237.5434612887;218.6164532562;0;78.6390119627;7314.1930980275;33604.8490871163;21204.0389462891;12400.8101408272
