Technical_coef_variation;2030;2040;2050
Crude_oil;0;0;0
Liquid_fuels;0;0;0
Gas_fuels;0;0;0
Solid_fuels;0;0;0
Elec_heating;0;0;0
Steel_Iron;-0.313983198632388;-0.388143477752941;-0.440058804342211
NonFerrousMetals;0.000980727233182495;0.0730745745506685;0.144704993256443
Cement;-0.0244849815946637;-0.143786947185276;-0.301506333768045
OthMin;0.0247791387777757;-0.00844149017374307;-0.0302653819951442
ChemicalPharma;-0.0724256012051915;-0.170774631029352;-0.269030365851248
Paper;-0.0261235797271872;-0.143659985362804;-0.258928957371103
Auto_indus;0.0791985532853715;0.102721617907681;0.11655507879719
OthEquip;-0.0255556964476558;-0.000551690861143236;0.0128470246563515
Electronics;0.0791985532853718;0.10272161790768;0.11655507879719
Food_industry;0.105919856068243;0.0960336935887101;0.0817828284499629
OthManuf;0.0791985532853716;0.10272161790768;0.11655507879719
LandTransp;-0.126919312739347;-0.358437142331309;-0.542125367863691
NavalTransp;0.0463624118873603;-0.0574275342974734;-0.522797382232424
AirTransp;-0.0677481210190342;-0.140886299076823;-0.151624679301176
AgriForest_Fish;-0.0241252749084972;-0.0758139724622115;-0.110649983492601
Construction;-0.0179597213880345;-0.0362731395548294;-0.054027415703701
Property_business;-0.106174103124167;-0.237013948305757;-0.350537010052853
Compo;-0.106174103124167;-0.237013948305757;-0.350537010052853
