IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;0;0;0;-56.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-66.4;-56.8;
Natur;-94.3;0;-86.2;-68.3;-26.7;-46; 49.9;-7.6;-7.6;-36.8;-34.1; 41.9; 12.4;-29.7;-19.3;-13.7;0;0; 34.1;-11;
Coal ;0;0;-5;0;-38.1; 1692.9;-32.3;0;-8.8;-37.6;0;0; 92.1;-30.6;-33.2;-93.8;0;0;-40.8;-26.5;
AllFu;0;0;0;0; 55.4; 100.1;-76.7;-19.3;-19.3;-44.9; 153.6;-35.5;-17.9;-38.6;-80.8;-4;0;0;-38;-18.7;
Elect; 171.8;-75.3; 554; 587.9;0; 867.3; 57.4; 20.7; 20.6;-17.8;-77.9; 425.3; 96.8;-8.3; 31.8; 45.2;0;0; 71.4;47.8;
HeatG;0;0;0;0;0;0;%i*64750102;0;-3;0;0;0;-30.6;-26.3;-37.4; 1331.8;0;0;0;64.9;
Heavy;0; 27.3;-2.2; 112.1; 75.5; 42.9; 7.7; 25.4; 22; 7.3; 5; 2; 6.8; 7; 9.1; 10.1; 10.5; 25.1; 12.8;11.7;
Build;0;0;0;0;0;0;0; 30;0;0;0;0;0; 10.8;0;0;0; 29.8;0;29.8;
Work_;-58.9; 32.1; 1.5; 120.1; 82.1; 48.4; 11.6; 30; 26.4; 11.2; 8.9; 5.8; 9.9; 10.8; 13.1; 10.1;0; 29.8;0;26.4;
Autom;0; 28.5;-1.3; 114.1; 77.1; 44.3; 8.7; 26.5; 23.1; 8.2; 5.9; 2.9; 7.6; 7.9; 10.1; 10.1;0; 26.2; 13.8;13.4;
Load_;0; 70.1; 30.7; 183.5; 134.5; 91.1; 42.2; 66; 61.4; 41.9; 39.2; 35.2; 34.9; 40.5; 44.7; 10.1; 10.5;0; 45.2;39.3;
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 10.1;0;0;0;10.1;
Agri_;0; 31.6; 1.1; 119.3; 81.5; 47.8; 11.2; 29.5; 26; 10.8; 8.5; 5.4; 9.6; 10.4; 12.7; 10.1; 10.5; 29.4; 16.6;11.3;
Prope;0; 33; 2.2; 121.7; 83.4; 49.4; 12.3; 30.8; 27.3; 11.9; 9.6; 6.5; 10.5; 11.5; 13.9; 10.1; 10.5; 30.9;0;11.5;
OthSe;-59; 31.9; 1.3; 119.7; 81.8; 48.1; 11.4; 29.7; 26.2; 11; 8.7; 5.6; 9.8; 10.6; 12.9; 10.1; 10.5; 29.6; 16.9;14;
Labour_income;-58.5;-81.3; 2.4;-27.7; 16.7; 49.8; 12.6; 31.1; 27.6; 12.2; 9.9; 6.7; 10.6; 11.7; 14.2;;;;;;
Labour_Tax;-57.4;-80.9; 5.1;-25.8; 19.8; 53.8; 15.6; 34.6; 30.9; 15.1; 12.8; 9.6; 13.5; 14.7; 17.2;;;;;;
Capital_income;-57.8; 31.7; 4.2; 119.4; 81.5; 52.3; 14.6; 33.4; 29.8; 14.1; 11.8; 8.6; 12.9; 13.8; 16.1;;;;;;
Production_Tax;-55.3;-13.8;-14.6;-37.9; 34.7; 39.2;-5; 13.7; 10.6;-3.7; 9.3;-4.3;-3.2;-2.4;-0.8;;;;;;
Profit_margin;-48.2;-0.1;-1;-28.1; 56.1; 61.3; 10.1; 31.8; 28.2; 11.6; 26.6; 11; 12.1; 13.1; 15;;;;;;
M_value;-57;-14.2;-39.1;-17.7; 46.5;0; 16.8;0;0; 16.3; 13.7; 10.5; 15;0; 18.3;;;;;;
Trade_margins;-56.8;0;-26.6;-25.5;0;0; 11.8;0;0; 12.8;0;0; 11.3;0; 10.5;;;;;;
Transp_margins;-56.8;-8.5;-26.6;-25.5; 53.7; 59.1; 11.8;0;0; 12.8; 12.1;0; 11.3;0; 13.9;;;;;;
SpeMarg_Crude_oil;0;-94.3;0;0; 174.7;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Natural_gas;0;0;0;0;-75.1;0;0;0;0; 28.4; 51;0;0; 33;0;;;;;;
SpeMarg_Coal;0;-86.2;-5;0; 561;0;0;0;0;-1.4; 16;0;0; 2.2;0;;;;;;
SpeMarg_AllFuels;-56.8;-68.2;0;0; 595.3;0;0;0;0; 114; 151.6;0;0; 121.7;0;;;;;;
SpeMarg_Electricity;0;-26.6;-38.1; 51.7;0;0;0;0;0; 77.1; 108.1;0;0; 83.4;0;;;;;;
SpeMarg_HeatGeoSol_Th;0;-45.9; 1693.1; 96.1; 877.7;0;0;0;0; 44.2; 69.6;0;0; 49.4;0;;;;;;
SpeMarg_Heavy_Industry;0; 50.1;-32.3;-77; 59.4;0;0;0;0; 8.6; 26.2;0;0; 12.3;0;;;;;;
SpeMarg_Buildings_constr;0;-7.5;0;-20.2; 21.5;0;0;0;0; 26.5; 47.3;0;0; 30.9;0;;;;;;
SpeMarg_Work_constr;0;-7.5;-8.8;-20.2; 21.5;-2.9;0;0;0; 23; 43.3;0;0; 27.3;0;;;;;;
SpeMarg_Automobile;0;-36.7;-37.6;-45.4;-16.9;0;0;0;0; 8.2; 25.9;0;0; 11.9;0;;;;;;
SpeMarg_Load_PipeTransp;0;-34;0; 150.9;-77.6;0;0;0;0; 5.9;0;0;0; 9.6;0;;;;;;
SpeMarg_PassTransp;0; 42;0;-36.2; 431;0;0;0;0; 2.9;0;0;0;0;0;;;;;;
SpeMarg_Agri_Food_industry;0; 12.5; 92.1;-19.1; 98.8;-30.5;0;0;0; 7.5; 19.7;0;0; 10.5;0;;;;;;
SpeMarg_Property_business;0;-29.6;-30.6;-39.3;-7.6;-26.2;0;0;0; 7.9; 24.7;0;0;-100;0;;;;;;
SpeMarg_Comp;0;-19.2;-33.2;-81; 32.8;-37.3;0;0;0; 10.1; 28.4;0;0;0;0;;;;;;
SpeMarg_C;0;-13.4;-93.8;-6.2; 46.8; 1337.2;0;0;0; 10.3;-1.9;0;0;-100;0;;;;;;
SpeMarg_G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_I;0;0;0;0;0;0;0;0;0; 26.4;0;0;0; 30.9;0;;;;;;
