Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0;0;10.4;0.1;41.9;19.7;0.1;43.4;0;12.6;60;0.6;15.5;152.5;202.1;532.4
Households consumption Nominal 1;0;9;0;40.3;28.6;1.1;47.8;0;13.9;66;0.7;17.1;167.9;222.6;586.3
HPrice Index (Paasche);-0.0003502;1.0246757;1.0156633;0.9691236;1.3852566;1.1239322;1.0123877;-0.0000002;1.0510061;1.0213967;1.3496911;1.0941219;1.04766;1.0593507;1.049332
Households consumption Real 1 (G€);0;8.8;0;41.5;20.7;0.9;47.2;0;13.2;64.7;0.5;15.6;160.3;210.1;558.8
Government consumption Nominal 0;0;0;0;0;0;0;25.9;0;0;0;2.8;0;0.2;14.5;478.2
Government consumption Nominal 1;0;0;0;0;0;0;28.6;0;0;0;3.1;0;0.2;16;528.4
G Price Index (Paasche);0.6345352;1.0245748;1.0156646;0.9693025;1.3834016;1.1240345;1.0123877;1.0504628;1.0510061;1.0213683;1.3496911;1.0941219;1.04766;1.0593507;1.049332
Government consumption Real 1 (G€);0;0;0;0;0;0;28.2;0;0;0;2.3;0;0.2;15.1;503.6
Investment Nominal 0;0;0;0;0;0;0;0.2;44.2;125.6;20;0;0;1.3;6.8;178.7
Investment Nominal 1;0;0;0;0;0;0;0.2;57.4;163;25.2;0;0;1.7;8.9;231.6
I Price Index (Paasche);0.6219436;0.9871813;1.225378;0.9207490;1.7787213;1.1874211;1.0123877;1.0504628;1.0510061;1.021283;1.4613174;1.0685037;1.04766;1.0593507;1.049332
Investment Real 1 (G€);0;0;0;0;0;0;0.2;54.6;155.1;24.7;0;0;1.7;8.4;220.7
Exports Nominal 0;0;0.5;0.1;13.8;2.2;0;106.6;0;0;39.3;0.7;0;38.3;0;262.1
Exports Nominal 1;0;0.7;0;8.6;3.8;0;120.3;0;0;44.7;1;0;44.6;0;306.5
X Price Index (Paasche);0.6343373;1.0276992;1.0180321;0.9463215;1.4010741;0;1.0138459;0;0;1.0229934;1.3052827;0;1.048279;0;1.0511429
Exports Real 1 (G€);0;0.7;0;9.1;2.7;0;118.6;0;0;43.7;0.8;0;42.6;0;291.6
Imports Nominal 0;28.8;9.8;2.2;16.1;1;0;103.9;0;0;43.7;1.6;0.4;36.3;0;272.4
Imports Nominal 1;12.4;8.4;1.3;13.2;1.5;0;121.4;0;0;50.8;1.8;0.5;41.7;0;322.3
M Price Index (Paasche);0.6226929;0.9504869;0.9331917;0.8624699;1.3837112;0;1;1;1;1;1;1;1;1;1
Imports Real 1 (G€);19.9;8.8;1.4;15.4;1.1;0;121.4;0;0;50.8;1.8;0.5;41.7;0;322.3
