Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;30.914008;1711.6101;1.2149983;4.2918254;40.14045;12.813765;2.3437027;5.2358985;5.2515873;4.1791502;20.828829;8.988568;5.8351534;5.9559342;5.5029257
Real Households consumption_Households;Nan;-15.739857;-93.930731;-0.8942899;4.7836938;1173.9447;8.7856946;Nan;4.7884458;7.8261752;-18.401109;0.6590769;5.1231278;3.9630251;4.9556282
Exports in volume;-46.967688;30.501325;-41.844907;-34.528683;22.325223;Nan;11.250742;Nan;Nan;11.250742;11.250742;Nan;11.250742;Nan;11.250742
Imports in volume;-30.894489;-9.7320912;-34.732519;-4.6152276;5.892622;-100;16.787815;-32.019226;-33.882794;16.323259;13.746294;10.511881;15.026358;-42.052935;18.313079
Trade balance ;-56.960581;-16.872744;-39.049962;106.0831;92.42803;Nan;-139.70752;Nan;Nan;38.871439;-10.405266;10.511881;45.940404;Nan;53.175606
Energy Cost share variation;343.00627;-74.965049;-0.8152838;-34.471341;-44.928303;2.9813095;-22.221544;-32.03303;-25.852268;-35.110461;87.192504;-6.1912229;1.8170899;-26.516646;-38.344856
 Energy/Labour cost variation;441.55517;31.132038;-6.2575414;-36.184193;-27.932629;8.484381;-25.576075;-33.171501;-27.087354;-36.818513;111.07475;-4.5882873;1.0233561;-27.219242;-39.242266
Labour;-62.848281;-83.28244;-8.1984646;-35.22494;4.5907627;34.240482;0.8904843;17.533324;14.317563;0.5256796;-1.5524784;-4.3518654;-0.9006049;0.1391565;2.3080518
Unitary Labour Cost variation;7.0910772;245.86185;7.0910772;7.0910772;7.0910772;7.0910772;6.9566699;7.0286668;7.0344705;6.995535;7.1575385;7.1575385;6.6666932;6.9787906;7.0612363
Net nominal wages;11.582325;11.582325;11.582325;11.582325;11.582325;11.582325;11.582325;11.582325;11.582325;11.582325;11.582325;11.582325;11.582325;11.582325;11.582325
Net real wages (Consumer Price Index);6.1078694;6.1078694;6.1078694;6.1078694;6.1078694;6.1078694;6.1078694;6.1078694;6.1078694;6.1078694;6.1078694;6.1078694;6.1078694;6.1078694;6.1078694
Purchasing power of wages_Households;1.758489;1.0889526;1.0986153;1.1513736;0.8054993;0.9927852;1.1021699;1.0622207;1.0616715;1.0924485;0.8267249;1.0198345;1.0650623;1.0533087;1.0633653
Carbon Taxe rate;0 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;No recycling revenues;;;;;;;;;;;;;;
