Macro results;in %
Carbon Tax rate;0 euro/tCO2
Labour Tax cut;No recycling revenues
Real GDP (Laspeyres);7.4666924
Households consumption in GDP;2.6312283
Public consumption in GDP;1.4359414
Investment in GDP;4.5750128
Exports in GDP;2.3817502
Imports in GDP;3.5572403
Imports/Domestic production ratio;97.912387
Imports of Non Energy goods in volume;17.471803
Exports of Non Energy goods in volume;11.250742
Total Employment;3.2858591
Unemployment rate (% points);0.0085931
Net-of-tax wages;11.582325
Labour Intensity (Laspeyres);-4.6421137
Labour tax rate (% points);0
Energy Input Price (Laspeyres);-4.8582977
Energy Intensity (Laspeyres);-8.136067
Energy cost share for non-energetic sector;-17.505666
Production Price (Laspeyres);9.778487
Production Price Energy goods (Laspeyres);193.5911
Production Price Non Energy goods (Laspeyres);5.6594142
Consumption Price for HH of Non Energy goods (Laspeyres);4.8746624
Real Households consumption (Laspeyres);4.6706051
 Energy in Households consumption;-0.0293750
 Non Energy goods in Households consumption;4.6999801
Public Deficits;-33.492507
Country Deficits /GDP;-27.372027
Total Emissions;-18.586455
Total Taxes;10.206777
Households Energy Bills;9.2669083
Firms Energy Bills;-20.540588
Households Energy Conso;-2.0238735
Firms Energy Conso;-21.63959
;
Most sensitif import Elasticity for NonEner;0
 Most sensitif export Elasticity for NonEner ;0
 Global mean wage/Unemployment Elasticity;-0.1192022
